document	cell_maps	number_maps	other_maps	calcext
cy01_state.ods	0	22	0	0
sistem-rekod-markah-srm-_-rekod-master.ods	20	18	0	6
AFCforPtF-Digital-Certificate-Publication-Report.ods	0	18	0	0
AMOC-Digital-Certificate-Publication-Report.ods	0	18	0	0
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).ods	0	20	0	0
Keywords_Mapping_Graphs_and_Charts.ods	0	18	0	0
NAARMO_Mexico_RVSM_Approvals.ods	0	18	0	0
PC1000.ods	0	26	0	0
RMP 2011-2014 and Inventory.ods	0	102	0	0
Special-Procedures_2025-07-10.ods	0	19	0	5
TOGAF9-Tool-ConfReqts-CSQ.ods	0	23	0	0
cy06_primary_np_comm.ods	0	28	0	0
2023-qhp-form-and-rate-combined-checklist-final.ods	0	18	0	0
Application_Compliance_Checklist_5_Apr_2021.ods	484	19	0	262
Application_for_authorisation_as_crowdfunding_service_provider.ods	0	18	0	0
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.ods	0	18	0	0
FY2023-AIP-grants.ods	0	21	0	0
List of EQS securities_0.ods	0	22	0	0
SIL_TDB605.ods	0	32	0	0
T0A0D0000090006XLSE.ods	0	28	0	0
aircraft_analysis-2018-06.ods	0	18	0	0
links-2026.ods	0	19	0	0
2025_Active_Civil_Airmen_Statistics_FINAL.ods	0	23	0	0
CSJU List of Recipients of funds 2013-2020.ods	0	18	0	0
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14.ods	0	18	0	0
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.ods	0	18	0	0
MinCh-Digital-Certificate-Publication-Report.ods	0	18	0	0
NPIAS_2007_App_A.ods	0	22	0	0
SIL_TDB609.ods	0	33	0	0
atspp_pay_tables.ods	368	22	0	62
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.ods	0	19	0	0
npias_2009_appA.ods	0	29	0	0
18-02RD301_ILS_components_Master_9-13-18.ods	0	22	0	0
ECA Sinters.ods	0	76	0	0
FY2021-AIP-grants.ods	0	18	0	0
afn-afn-20250801-fy25-jan25-mar25.ods	0	18	0	0
aircraft_analysis_2016-04-27.ods	0	22	0	0
alle einzeln.ods	0	19	0	0
capa-liste-nse-1.ods	0	33	0	0
fy20-may20-sep20.ods	0	19	0	0
fy2010-aip-grants.ods	0	35	0	0
fy2011-aip-grants.ods	0	28	0	0
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.ods	0	18	0	7
7-memento-2015-transports-aeriens-b.ods	0	23	0	0
Aircraft_Database.ods	0	18	0	0
MajCh-Digital-Certificate-Publication-Report.ods	0	18	0	0
NPIAS_App_A.ods	0	28	0	0
TICAPCapability_Final.ods	12	35	0	2
UASEventsNov2014-Aug2015.ods	0	22	0	0
edb-emissions-databank v27-NewFormat (web).ods	15	19	0	9
fm-provider-service-measures.ods	0	18	0	5
