run	shape	cats	size	cx	pitch_calib	text	advance	label_adv	lang	arrangement	lines	pitch_drawn
w14	two	5	11	3575000	54.046	nnnnnnnn	47.285	67.626	de-DE	turned	0	48.368
w14	two	5	11	3575000	54.046	nnnnnnnn	47.285	67.626	en-US	turned	0	48.368
w14	two	5	11	3606000	54.515	nnnnnnnn	47.285	67.626	de-DE	upright	2	54.519
w14	two	5	11	3606000	54.515	nnnnnnnn	47.285	67.626	en-US	upright	2	54.519
w14	two	5	11	3637500	54.991	nnnnnnnn	47.285	67.626	de-DE	upright	2	54.987
w14	two	5	11	3637500	54.991	nnnnnnnn	47.285	67.626	en-US	upright	2	54.987
w14	two	5	11	3700000	55.936	nnnnnnnn	47.285	67.626	de-DE	upright	2	55.943
w14	two	5	11	3700000	55.936	nnnnnnnn	47.285	67.626	en-US	upright	2	55.943
w2	one	5	11	3585210	54.200	nnnnnnfft	46.099	46.099	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnniif	44.061	44.061	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnniiit	46.978	46.978	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnniis	45.027	45.027	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnnitts	49.982	49.982	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnnnfft	52.009	52.009	de-DE	turned	0	51.068
w2	one	5	11	3585210	54.200	nnnnnnnfts	52.976	52.976	de-DE	turned	0	50.870
w2	one	5	11	3585210	54.200	nnnnnnnir	47.878	47.878	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnnnnfft	57.920	57.920	de-DE	turned	0	50.140
w2	one	5	11	3585210	54.200	nnnnnnnnnt	56.964	56.964	de-DE	turned	0	50.204
w2	one	5	11	3585210	54.200	nnnnnnnnss	56.085	56.085	de-DE	turned	0	50.338
w2	one	5	11	3585210	54.200	nnnnnnnnt	51.053	51.053	de-DE	upright	1	54.193
w2	one	5	11	3585210	54.200	nnnnnnnntr	54.976	54.976	de-DE	turned	0	50.515
w2	one	5	11	3585210	54.200	nnnnnnnrss	54.097	54.097	de-DE	turned	0	50.657
w2	one	5	11	3585210	54.200	nnnnnnntr	49.065	49.065	de-DE	upright	1	54.193
w3	one	5	11	3585210	54.200	nnnnnnffss	51.130	51.130	de-DE	upright	1	54.193
w3	one	5	11	3585210	54.200	nnnnnnnfft	52.009	52.009	de-DE	turned	0	51.068
w3	one	5	11	3585210	54.200	nnnnnnnifr	51.312	51.312	de-DE	upright	1	54.193
w3	one	5	11	3585210	54.200	nnnnnnnifs	51.790	51.790	de-DE	turned	0	51.018
w3	one	5	11	3585210	54.200	nnnnnnniiii	51.702	51.702	de-DE	turned	0	51.018
w3	one	5	11	3585210	54.200	nnnnnnniiij	51.812	51.812	de-DE	turned	0	51.018
w3	one	5	11	3585210	54.200	nnnnnnniis	50.938	50.938	de-DE	upright	1	54.193
w3	one	5	11	3585210	54.200	nnnnnnnitr	51.647	51.647	de-DE	turned	0	51.040
w3	one	5	11	3585210	54.200	nnnnnnnnr	51.207	51.207	de-DE	upright	1	54.193
w3	one	5	11	3585210	54.200	nnnnnnnns	51.685	51.685	de-DE	turned	0	51.033
w3	one	5	11	3585210	54.200	nnnnnnnnt	51.053	51.053	de-DE	upright	1	54.193
w3	one	5	11	3585210	54.200	nnnnnnttss	51.801	51.801	de-DE	upright	1	54.193
w3	two	5	11	3585210	54.200	nnnnnnifs	45.879	66.220	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnniiif	46.642	66.984	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnniis	45.027	65.369	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnnnif	47.390	67.731	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnnniiij	51.812	72.153	de-DE	turned	0	47.830
w3	two	5	11	3585210	54.200	nnnnnnniir	50.460	70.801	de-DE	turned	0	48.042
w3	two	5	11	3585210	54.200	nnnnnnnnr	51.207	71.548	de-DE	turned	0	47.929
w3	two	5	11	3585210	54.200	nnnnnnnrs	49.697	70.038	de-DE	turned	0	48.163
w3	two	5	11	3585210	54.200	nnnnnnntt	48.911	69.252	de-DE	turned	0	48.347
w3	two	5	11	3585210	54.200	nnnnnnrss	48.186	68.527	de-DE	turned	0	48.404
w3	two	5	11	3585210	54.200	nnnnnnss	44.264	64.605	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnnts	43.632	63.973	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnrss	42.275	62.617	de-DE	upright	2	54.193
w3	two	5	11	3585210	54.200	nnnnnsss	42.753	63.094	de-DE	upright	2	54.193
w4	one	5	11	1800000	27.212	iiii	10.327	10.327	de-DE	upright	1	27.207
w4	one	5	11	2266666	34.267	iiii	10.327	10.327	de-DE	upright	1	34.272
w4	one	5	11	2733333	41.322	iiii	10.327	10.327	de-DE	upright	1	41.323
w4	one	5	11	3200000	48.377	iiii	10.327	10.327	de-DE	upright	1	48.382
w4	one	5	11	3666666	55.432	iiii	10.327	10.327	de-DE	upright	1	55.440
w4	one	5	11	4133333	62.487	iiii	10.327	10.327	de-DE	upright	1	62.484
w4	one	5	11	4600000	69.542	iiii	10.327	10.327	de-DE	upright	1	69.550
w4	one	5	11	5066666	76.597	iiii	10.327	10.327	de-DE	upright	1	76.594
w4	one	5	11	5533333	83.652	iiii	10.327	10.327	de-DE	upright	1	83.652
w4	one	5	11	6000000	90.707	iiii	10.327	10.327	de-DE	upright	1	90.703
w5	two	5	11	3585210	54.200	nniiii	22.148	42.490	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnnf	21.165	41.506	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnnift	27.515	47.856	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnnir	24.236	44.577	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnnirs	28.636	48.977	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnnnft	30.844	51.185	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnnniiii	33.970	54.311	de-DE	upright	2	54.193
w5	two	5	11	3585210	54.200	nnnnnf	32.986	53.328	de-DE	upright	2	54.193
w5	two	5	11	3585210	54.200	nnnnts	31.811	52.152	de-DE	upright	2	54.193
w5	two	5	11	3585210	54.200	nnnss	26.532	46.873	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnntr	25.422	45.764	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnntts	29.669	50.010	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnrs	20.143	40.485	de-DE	upright	1	54.193
w5	two	5	11	3585210	54.200	nnttr	23.280	43.621	de-DE	upright	1	54.193
w6	rev	5	11	3585210	54.200	nnnnnnfft	46.099	66.440	de-DE	upright	2	54.193
w6	rev	5	11	3585210	54.200	nnnnnniif	44.061	64.402	de-DE	upright	2	54.193
w6	rev	5	11	3585210	54.200	nnnnnniiit	46.978	67.319	de-DE	upright	2	54.193
w6	rev	5	11	3585210	54.200	nnnnnniis	45.027	65.369	de-DE	upright	2	54.193
w6	rev	5	11	3585210	54.200	nnnnnnitts	49.982	70.323	de-DE	turned	0	48.177
w6	rev	5	11	3585210	54.200	nnnnnnniiij	51.812	72.153	de-DE	turned	0	47.830
w6	rev	5	11	3585210	54.200	nnnnnnnir	47.878	68.220	de-DE	turned	0	48.439
w6	rev	5	11	3585210	54.200	nnnnnnnnt	51.053	71.395	de-DE	turned	0	47.950
w6	rev	5	11	3585210	54.200	nnnnnnntr	49.065	69.406	de-DE	turned	0	48.262
w6	two1	5	11	3585210	54.200	nnnnnnfft	46.099	54.575	de-DE	upright	2	54.193
w6	two1	5	11	3585210	54.200	nnnnnniif	44.061	52.537	de-DE	upright	2	54.193
w6	two1	5	11	3585210	54.200	nnnnnniiit	46.978	55.453	de-DE	upright	2	54.193
w6	two1	5	11	3585210	54.200	nnnnnniis	45.027	53.503	de-DE	upright	2	54.193
w6	two1	5	11	3585210	54.200	nnnnnnitts	49.982	58.458	de-DE	turned	0	50.041
