# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
slides/done-001/ppt/WC_Update-Aug03.ppt	ppt	11/11	452/452	2/2	0	match	519/519
slides/done-001/ppt/policy-pesentation.ppt	ppt	16/16	389/389	3/3	0	match	478/478
slides/done-001/ppt/wells08_basic.ppt	ppt	27/27	986/995	4/4	0	match	1172/1171
slides/done-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	pptx	8/8	267/267	2/2	0	match	309/309
slides/done-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	pptx	6/6	732/732	4/4	0	match	794/794
slides/done-001/pptx/Definitions commodity chains.pptx	pptx	4/4	261/261	2/2	0	match	279/279
slides/done-001/pptx/Statement of Work presentation.pptx	pptx	10/10	227/224	3/3	0	match	233/229
slides/done-001/pptx/Trust Fund Excise Taxes Structure.pptx	pptx	1/1	169/169	2/2	0	match	189/189
slides/done-001/pptx/fishbone-diagram-template-ppt-1.pptx	pptx	1/1	189/189	2/2	0	match	197/197
slides/done-001/pptx/iaeg_work_group_leader_updates.pptx	pptx	1/1	90/90	4/4	0	match	91/91
slides/done-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	ppt	18/18	815/815	5/4	0	match	838/871
slides/done-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	ppt	27/27	1647/1654	7/7	0	match	1722/1724
slides/done-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	ppt	14/14	743/743	4/5	0	match	823/820
slides/done-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	ppt	20/20	909/909	3/3	0	match	1025/932
slides/done-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	ppt	10/10	555/555	3/3	0	match	587/587
slides/done-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	ppt	30/30	1844/1845	3/3	0	match	1923/1878
slides/done-002/pptx/Curriculum-Schematic-E22-11052025.pptx	pptx	12/12	1131/1134	5/5	0	match	1319/1322
slides/done-002/pptx/dhs-293364.pptx	pptx	39/39	3618/3618	8/7	0	match	3827/3827
