# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
words/done-004/docx/461249.docx	docx	5/5	1671/1669	4/4	0	match	1710/1708
words/done-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	docx	3/3	953/953	3/3	0	match	960/960
words/done-004/docx/License App Instructions 2-22.docx	docx	3/3	1002/1002	4/4	0	match	1036/1036
words/done-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	docx	4/4	1081/1081	6/6	0	match	1094/1094
words/done-004/docx/Software Architecture Document Template.docx	docx	3/3	589/589	5/5	0	match	604/604
words/done-005/doc/316r_a_e.doc	doc	14/14	4372/4373	4/4	0	match	4417/4418
words/done-005/doc/316r_a_f.doc	doc	14/14	4581/4584	4/4	0	match	4631/4634
words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	doc	1/1	262/262	2/2	0	match	265/265
words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	doc	10/10	3346/3346	4/5	0	match	3372/3372
words/done-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	docx	3/3	668/668	4/3	0	match	672/672
words/done-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	docx	2/2	294/294	3/3	0	match	310/310
words/done-005/docx/Technical Report and Technical Update Guidelines.docx	docx	4/4	1205/1205	5/5	0	match	1251/1251
words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	docx	15/15	5453/5453	3/3	0	match	5657/5657
words/done-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	docx	4/4	1701/1701	5/5	0	match	1711/1711
words/done-005/docx/part-147_approval list_20230119.docx	docx	2/2	735/735	5/5	0	match	758/758
words/done-006/doc/003.doc	doc	5/5	984/984	3/3	0	match	999/999
words/done-006/doc/1244277 1 Comment.doc	doc	2/2	389/389	5/5	0	match	393/393
words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	doc	2/2	774/774	3/3	0	match	781/779
words/done-006/doc/P200904290238_0238_51880.doc	doc	3/3	308/308	4/4	0	match	312/312
words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	doc	6/6	941/941	4/4	0	match	955/955
words/done-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	docx	18/18	6133/6133	2/2	0	match	6166/6166
words/done-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	docx	2/2	424/424	3/3	0	match	430/430
words/done-006/docx/cacs-206-1751218225.docx	docx	2/2	347/347	3/3	0	match	348/348
words/done-006/docx/healthcare-reform-nsa-provider-bulletin.docx	docx	5/5	1936/1936	7/7	0	match	1980/1980
words/done-006/docx/technical-memo-format.docx	docx	5/5	1812/1812	5/5	0	match	1846/1846
words/done-007/doc/RNW167A-150428.doc	doc	9/9	1767/1767	5/5	0	match	1770/1770
words/done-007/doc/chapter 12.doc	doc	12/12	3671/3671	4/4	0	match	3683/3683
words/done-007/doc/congregationalhistories_ky_2023.doc	doc	1/1	247/247	3/3	0	match	252/252
words/done-007/docx/09.docx	docx	2/2	463/463	4/4	0	match	463/463
words/done-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	docx	1/1	397/398	4/4	0	match	417/418
words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	docx	2/2	827/813	3/3	0	match	843/828
words/done-007/docx/final-technical-report-template.docx	docx	6/6	1118/1123	6/6	0	match	1131/1136
words/done-007/docx/johnson_hall_service_log.pdf.docx	docx	1/1	274/274	6/6	0	match	317/317
words/done-007/docx/technical-report-template.docx	docx	7/7	728/715	2/2	0	match	738/725
words/done-007/docx/template-technical-report.docx	docx	10/10	837/837	3/3	0	match	859/859
words/done-008/doc/1245685 1 Comment.doc	doc	1/1	326/326	7/7	0	match	327/327
words/done-008/doc/2024-2nd-quarter-case-summaries.doc	doc	10/10	5675/5675	4/4	0	match	5677/5677
words/done-008/doc/FlightLaws.doc	doc	4/4	1073/1074	5/5	0	match	1132/1133
words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	doc	6/6	1027/1027	4/4	0	match	1083/1083
