stem	pagesB	pagesA	pagesR	wordsB	wordsA	wordsR	hashB	hashA	hashR	verdictB	verdictA	bytesChanged
T0A0D0000090006XLSE	162	162	162	42723	42723	40430	-	-	-	words,unembedded	words,unembedded	0
TDA_Smoke-Detectors	28	28	28	3660	3660	3660	-	-	-	unembedded	unembedded	0
TICAPCapability_Final	17	17	17	4885	4885	4875	-	-	-	unembedded	unembedded	0
TK-Syllabus-Comparison-Document-v2	1235	1235	1235	255998	255998	255900	-	-	-	unembedded	unembedded	0
TOGAF9-Tool-ConfReqts-CSQ	28	28	28	23622	23622	23509	-	-	-	unembedded	unembedded	0
Template Pilot Logbook JAR-FCL V3.0	38	38	38	1317	1317	1386	-	-	-	words,unembedded	words,unembedded	0
Travel-Cost-Estimate-Calculator	3	3	3	194	194	194	-	-	-	unembedded	unembedded	0
UAE Type Accepted Aircraft Models	6	6	6	710	710	711	-	-	-	unembedded	unembedded	0
UASEventsNov2014-Aug2015	523	523	523	64073	64073	63849	-	-	-	unembedded	unembedded	0
Upload__hvv_Linie_150_2023	1	1	1	237	237	237	-	-	-	unembedded	unembedded	0
VOR Candidate Discontinuance List 2026-01-08	7	7	7	1558	1558	1558	-	-	-	unembedded	unembedded	0
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm	1	1	1	521	521	521	-	-	-	unembedded	unembedded	0
WG7_NCWF_Skills_Table	44	44	44	8511	8511	8512	-	-	-	unembedded	unembedded	0
ZenithAviation_AuctionList	33	33	33	6621	6621	6621	-	-	-	unembedded	unembedded	0
activespecs	266	266	266	46569	46569	46587	-	-	-	unembedded	unembedded	0
afn-afn-20250801-fy25-jan25-mar25	270	270	270	73013	73013	72844	-	-	-	unembedded	unembedded	0
aircraft_analysis-2018-06	42	42	42	6219	6219	6219	-	-	-	unembedded	unembedded	0
aircraft_analysis_2016-04-27	46	46	46	11659	11659	11672	-	-	-	unembedded	unembedded	0
airports_6	17	17	17	11027	11027	11044	-	-	-	unembedded	unembedded	0
alle einzeln	186	186	186	58954	58954	63605	-	-	-	words,unembedded	words,unembedded	0
ans_mappings_of_eccairs_terms	190	190	191	25264	25264	25193	-	-	-	pages,unembedded	pages,unembedded	0
apron-area	3	3	3	417	417	417	-	-	-	unembedded	unembedded	0
arp-sop-300-Exhibit-A-Table-Templates	11	11	11	3687	3687	3668	-	-	-	unembedded	unembedded	0
atspp_pay_tables	101	101	101	12929	12929	12929	-	-	-	unembedded	unembedded	0
capa-liste-nse-1	108	108	108	20197	20197	20207	-	-	-	unembedded	unembedded	0
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013	343	343	343	36722	36722	36722	-	-	-	unembedded	unembedded	0
