family	batch	path	ext	score	source	previous_batch	status	kind
sheets	done-008	sheets/done-008/xlsx/TDA_Smoke-Detectors.xlsx	xlsx	440.0	xlsx/TDA_Smoke-Detectors.xlsx	batch-009	done	
sheets	done-009	sheets/done-009/xlsx/PBN Matrix NAAs (V01).xlsx	xlsx	445.9	xlsx/PBN Matrix NAAs (V01).xlsx	batch-009	done	
sheets	done-009	sheets/done-009/xlsx/sistem-rekod-markah-srm-_-rekod-master.xlsx	xlsx	506.4	xlsx/sistem-rekod-markah-srm-_-rekod-master.xlsx	batch-009	done	
sheets	done-009	sheets/done-009/xlsx/Aviation_Abbreviations.xlsx	xlsx	531.6	xlsx/Aviation_Abbreviations.xlsx	batch-009	done	
sheets	done-009	sheets/done-009/xlsx/RegChangeReport.xlsx	xlsx	539.4	xlsx/RegChangeReport.xlsx	batch-009	done	
sheets	done-009	sheets/done-009/xlsx/State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.xlsx	xlsx	539.8	xlsx/State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.xlsx	batch-009	done	
sheets	done-009	sheets/done-009/xlsx/Data-Architecture-Tool-Fit-Assessment-Template.xlsx	xlsx	576.9	xlsx/Data-Architecture-Tool-Fit-Assessment-Template.xlsx	batch-010	done	
sheets	done-010	sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	xlsx	604.3	xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	batch-010	done	
sheets	done-010	sheets/done-010/xlsx/DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).xlsx	xlsx	638.8	xlsx/DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).xlsx	batch-010	done	
sheets	done-010	sheets/done-010/xlsx/NAARMO_Mexico_RVSM_Approvals.xlsx	xlsx	701.7	xlsx/NAARMO_Mexico_RVSM_Approvals.xlsx	batch-011	done	
sheets	done-010	sheets/done-010/xlsx/AFCforPtF-Digital-Certificate-Publication-Report.xlsx	xlsx	738.6	xlsx/AFCforPtF-Digital-Certificate-Publication-Report.xlsx	batch-011	done	
sheets	done-010	sheets/done-010/xlsx/AMOC-Digital-Certificate-Publication-Report.xlsx	xlsx	741.9	xlsx/AMOC-Digital-Certificate-Publication-Report.xlsx	batch-011	done	
sheets	done-011	sheets/done-011/xlsx/links-2026.xlsx	xlsx	778.1	xlsx/links-2026.xlsx	batch-011	done	
sheets	done-011	sheets/done-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	xlsx	789.5	xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	batch-011	done	
sheets	done-011	sheets/done-011/xlsx/Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.xlsx	xlsx	799.3	xlsx/Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.xlsx	batch-011	done	
sheets	done-011	sheets/done-011/xlsx/aircraft_analysis-2018-06.xlsx	xlsx	824.6	xlsx/aircraft_analysis-2018-06.xlsx	batch-012	done	
sheets	done-011	sheets/done-011/xlsx/2023-qhp-form-and-rate-combined-checklist-final.xlsx	xlsx	827.1	xlsx/2023-qhp-form-and-rate-combined-checklist-final.xlsx	batch-012	done	
sheets	done-011	sheets/done-011/xlsx/FY2023-AIP-grants.xlsx	xlsx	913.8	xlsx/FY2023-AIP-grants.xlsx	batch-012	done	
sheets	done-011	sheets/done-011/xlsx/Application_for_authorisation_as_crowdfunding_service_provider.xlsx	xlsx	930.3	xlsx/Application_for_authorisation_as_crowdfunding_service_provider.xlsx	batch-012	done	
sheets	done-012	sheets/done-012/xlsx/atspp_pay_tables.xlsx	xlsx	959.7	xlsx/atspp_pay_tables.xlsx	batch-012	done	
sheets	done-012	sheets/done-012/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.xlsx	xlsx	975.3	xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.xlsx	batch-012	done	
sheets	done-012	sheets/done-012/xlsx/2025_Active_Civil_Airmen_Statistics_FINAL.xlsx	xlsx	994.9	xlsx/2025_Active_Civil_Airmen_Statistics_FINAL.xlsx	batch-012	done	
sheets	done-012	sheets/done-012/xlsx/CSJU List of Recipients of funds 2013-2020.xlsx	xlsx	1100.2	xlsx/CSJU List of Recipients of funds 2013-2020.xlsx	batch-013	done	
sheets	done-012	sheets/done-012/xlsx/Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14.xlsx	xlsx	1106.6	xlsx/Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14.xlsx	batch-013	done	
sheets	done-012	sheets/done-012/xlsx/MinCh-Digital-Certificate-Publication-Report.xlsx	xlsx	1112.2	xlsx/MinCh-Digital-Certificate-Publication-Report.xlsx	batch-013	done	
sheets	done-012	sheets/done-012/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.xlsx	xlsx	1148.3	xlsx/EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.xlsx	batch-013	done	
sheets	done-013	sheets/done-013/xlsx/fy20-may20-sep20.xlsx	xlsx	1216.5	xlsx/fy20-may20-sep20.xlsx	batch-013	done	
sheets	done-013	sheets/done-013/xlsx/FY2021-AIP-grants.xlsx	xlsx	1292.1	xlsx/FY2021-AIP-grants.xlsx	batch-014	done	
sheets	done-013	sheets/done-013/xlsx/afn-afn-20250801-fy25-jan25-mar25.xlsx	xlsx	1338.9	xlsx/afn-afn-20250801-fy25-jan25-mar25.xlsx	batch-014	done	
sheets	done-013	sheets/done-013/xlsx/alle einzeln.xlsx	xlsx	1380.0	xlsx/alle einzeln.xlsx	batch-014	done	
sheets	done-014	sheets/done-014/xlsx/Aircraft_Database.xlsx	xlsx	1654.0	xlsx/Aircraft_Database.xlsx	batch-014	done	
sheets	done-014	sheets/done-014/xlsx/fm-provider-service-measures.xlsx	xlsx	1773.2	xlsx/fm-provider-service-measures.xlsx	batch-015	done	
sheets	done-014	sheets/done-014/xlsx/seihon_zassi_kikou_20221215.xlsx	xlsx	2015.1	xlsx/seihon_zassi_kikou_20221215.xlsx	batch-015	done	
sheets	done-014	sheets/done-014/xlsx/MajCh-Digital-Certificate-Publication-Report.xlsx	xlsx	2160.4	xlsx/MajCh-Digital-Certificate-Publication-Report.xlsx	batch-015	done	
sheets	done-014	sheets/done-014/xlsx/edb-emissions-databank v27-NewFormat (web).xlsx	xlsx	2262.8	xlsx/edb-emissions-databank v27-NewFormat (web).xlsx	batch-015	done	
sheets	done-014	sheets/done-014/xlsx/6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.xlsx	xlsx	2264.4	xlsx/6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.xlsx	batch-015	done	
sheets	done-015	sheets/done-015/xlsx/flightstandards-doc-Cross-reference-table_version02.xlsx	xlsx	2445.8	xlsx/flightstandards-doc-Cross-reference-table_version02.xlsx	batch-016	done	
sheets	done-015	sheets/done-015/xlsx/Global_Market_Forecast_2016-2035_Airbus_Data_Set.xlsx	xlsx	3439.0	xlsx/Global_Market_Forecast_2016-2035_Airbus_Data_Set.xlsx	batch-016	done	
sheets	done-015	sheets/done-015/xlsx/tk-syllabus-comparison-document-v5.xlsx	xlsx	4300.2	xlsx/tk-syllabus-comparison-document-v5.xlsx	batch-016	done	
sheets	done-015	sheets/done-015/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.xlsx	xlsx	4468.2	xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.xlsx	batch-017	done	
sheets	done-015	sheets/done-015/xlsx/EASA_PRODUCT_LIST_-_ALL.xlsx	xlsx	5989.6	xlsx/EASA_PRODUCT_LIST_-_ALL.xlsx	batch-017	done	
sheets	done-016	sheets/done-016/xlsx/TK-Syllabus-Comparison-Document-v2.xlsx	xlsx	7007.4	xlsx/TK-Syllabus-Comparison-Document-v2.xlsx	batch-017	done	
sheets	done-016	sheets/done-016/xlsx/RCO_VOR_Master_List_082824.xlsx	xlsx	11073.5	xlsx/RCO_VOR_Master_List_082824.xlsx	batch-017	done	
sheets	done-016	sheets/done-016/xlsx/Laser Report 2024 FOIA __Oct (1).xlsx	xlsx	19383.6	xlsx/Laser Report 2024 FOIA __Oct (1).xlsx	batch-018	done	
sheets	done-016	sheets/done-016/xlsx/STC_WebList.xlsx	xlsx	21747.7	xlsx/STC_WebList.xlsx	batch-018	done	
