slides/batch-007/pptx/flying-by-numbers-presentation.pptx	Carlito-Bold,Carlito-Italic,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Italic,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold
slides/batch-007/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	DejaVuSans,DejaVuSans-Bold,LiberationSans,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,OpenSymbol
slides/batch-008/ppt/71393_pp7.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,OpenSymbol
slides/batch-008/ppt/Framing Europe.ppt	LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic,OpenSymbol	LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic,OpenSymbol
slides/batch-008/ppt/RESPA_-_Section_8_Webinar.ppt	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif
slides/batch-008/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSerif,DejaVuSerif-Bold,LiberationSans,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSerif,DejaVuSerif-Bold,LiberationSans,OpenSymbol
slides/batch-008/pptx/10. Drawings, circuit diagrams and schematics.pptx	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic
slides/batch-008/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,DejaVuSerif,DejaVuSerif-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-008/pptx/AATF-Fact-Sheet-2025.pptx	Carlito-Bold,Carlito-Italic,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Italic,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-008/pptx/BHCA Part II webinar #2 - 10.2020.pptx	DejaVuSans,DejaVuSerif,DejaVuSerif-Bold,LiberationMono,LiberationSans,LiberationSans-Bold	DejaVuSans,DejaVuSerif,DejaVuSerif-Bold,LiberationMono,LiberationSans,LiberationSans-Bold
slides/batch-008/pptx/FIT26-Presentation-Airservices-Update.pptx	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold
slides/batch-009/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic,OpenSymbol	LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic,OpenSymbol
slides/batch-009/ppt/Airport Planning 09112013.ppt	DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,OpenSymbol	DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-009/ppt/EG1_dsrc tech.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif-Bold,OpenSymbol
slides/batch-009/ppt/Employment-Based_I-485.ppt	DejaVuSans,DejaVuSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-009/pptx/G-InvoicingKeithJarboe.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold
slides/batch-009/pptx/NWD-GLA-Community-Outreach-Day-Oct-2025.pptx	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,LiberationSans
slides/batch-009/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	Carlito-Bold,Carlito-Italic,Carlito-Regular	Carlito-Bold,Carlito-Italic,Carlito-Regular
slides/batch-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSansMono,LiberationSans,LiberationSans-Bold,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSansMono,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-009/pptx/item_3-environmental_process_briefing.pptx	DejaVuSans,LiberationSans,LiberationSans-Bold,OpenSymbol	DejaVuSans,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif,LiberationSerif-Bold,OpenSymbol	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-010/ppt/Fundamentals_Module_1_basics.ppt	DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif-Bold	DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic
slides/batch-010/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSerif,LiberationSerif-Bold	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSerif,LiberationSerif-Bold
slides/batch-010/ppt/iep-amount-frequency-for-webinar.ppt	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol
slides/batch-010/pptx/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.pptx	Carlito-Bold,Carlito-BoldItalic,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-BoldItalic,Carlito-Regular,DejaVuSerif,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-010/pptx/COMSTAC_11_5_2021am_2.pptx	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,OpenSymbol
slides/batch-010/pptx/FIT26-Presentation-PR-Briefing-Debrief-Airbus.pptx	LiberationSans,LiberationSans-Bold,LiberationSans-Italic	LiberationSans,LiberationSans-Bold,LiberationSans-Italic
slides/batch-010/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	DejaVuSans,DejaVuSans-Bold,LiberationSans
slides/batch-010/pptx/Tax factsheet 2022 (1).pptx	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,DejaVuSans,LiberationSans,LiberationSans-Bold
