document	catAx_parts	cached_categories	multiword_labels	longest_word	chart_part_langs	catAx_subtree_langs	non_ascii_labels	sample_labels
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	1	16	0	2	en-US	en-US	0	M1 | M2 | M3 | M4 | M5
slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	3	24	24	8	en-US	-	0	Category 1 | Category 2 | Category 1 | Category 2 | Category 1
slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	2	32	32	8	en-US	-	0	Category 1 | Category 2 | Category 3 | Category 4 | Category 1
slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	2	16	0	5	en-US	-	0	one | two | three | four | five
slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	6	12	12	8	en-US	-	0	Category 1 | Category 1 | Category 1 | Category 1 | Category 1
slides/chartset-008/pptx/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	2	20	16	10	en-US	en-US	0	Product Quality | Innovation | Brand Reputation | Cost Efficiency | Customer Service
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	6	12	12	8	en-US	-	0	Category 1 | Category 1 | Category 1 | Category 1 | Category 1
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	8	16	16	8	en-US	-	0	Category 1 | Category 1 | Category 1 | Category 1 | Category 1
slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx	1	4	2	13	en-US	en-US	0	Whole economy | Manufacturing  | Whole economy | Manufacturing 
slides/done-011/pptx/171128IPAP.pptx	7	444	0	10	en-US;en-ZA	en-US;en-ZA	0	2016 | 2017 | 2018 | 2019 | 2020
slides/done-011/pptx/1_Country-Updates_DRC_English.pptx	3	32	0	4	en-US	en-US	0	2018 | 2019 | 2020 | 2021 | 2022
slides/done-011/pptx/3492.pptx	3	17	0	5	en-US	-	0	Total | Total | 2010 | 2011 | 2012
slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	1	18	0	3	en-US	en-US	0	100 | 200 | 300 | 400 | 500
words/chartset-001/docx/clustered-column-result.docx	1	18	3	9	en-US	en-US	0	Brazil | Vietnam | Colombia | Indonesia | Honduras
words/chartset-001/docx/clustered-column-template.docx	1	3	0	16	en-US	en-US	0	{{prod.country}} | {{prod.country}} | {{prod.country}}
