document	set	turned_base	turned_noDict	glyphfills_base	glyphfills_noDict	alnum_base	alnum_noDict	text_layout_differs
slides/chartset-005/pptx/076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	chart-no-catAx	0	0	0	0	1101	1101	no
slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	chart-no-catAx	0	0	0	0	1865	1865	no
slides/chartset-008/pptx/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	chart-no-catAx	0	0	0	0	407	407	no
slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	chart-no-catAx	0	0	0	0	2032	2032	no
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	chart-no-catAx	0	0	2	2	1831	1831	no
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	chart-no-catAx	0	0	242	242	397	397	no
slides/done-007/pptx/bitesize-writing-a-report.pptx	chart-no-catAx	0	0	558	558	3791	3791	no
slides/done-007/pptx/flying-by-numbers-presentation.pptx	chart-no-catAx	0	0	0	0	2379	2379	no
slides/done-011/pptx/3495.pptx	chart-no-catAx	0	0	8	8	4375	4375	yes
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	chart-no-catAx	2	2	1056	1056	8744	8744	no
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	chart-no-catAx	6	6	255	255	5868	5868	no
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	chart-no-catAx	0	0	25	25	18491	18491	no
words/chartset-001/docx/pie-chart-result.docx	chart-no-catAx	0	0	0	0	234	234	no
words/chartset-001/docx/pie-chart-template.docx	chart-no-catAx	0	0	0	0	73	73	no
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	chart-no-catAx	0	0	16	16	1557	1557	no
words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	chart-no-catAx	0	0	0	0	545	545	no
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	chart-no-catAx	0	0	16	16	1218	1218	no
words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	chart-no-catAx	0	0	145	145	568	568	no
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	chart-no-catAx	0	0	0	0	549	549	no
