              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
      Caladea Bold   9.5 |      301    386 | +0/+0  +0/+0  +0/-1  +2/+2  +1/+0  -130/-167  +1/+0
      Caladea Bold  10.0 |      318    407 | +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -138/-177  +0/-1
      Caladea Bold  10.5 |      330    423 | +0/+0  +0/+0  +0/+0  +5/+4  +3/+3  -141/-181  +3/+3
      Caladea Bold  11.0 |      351    449 | +0/+0  +0/-1  +0/+0  -2/-1  -2/-3  -153/-196  -2/-3
      Caladea Bold  11.5 |      364    466 | +0/+0  +0/+0  +0/+0  +3/+3  +1/+1  -157/-201  +1/+0
      Caladea Bold  12.0 |      381    487 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -165/-211  +0/+0
      Caladea Bold  12.5 |      398    508 | +0/+0  +0/+0  +0/+0  +1/+0  -1/-1  -173/-220  -1/-1
      Caladea Bold  13.0 |      411    525 | +0/+0  +0/+0  +0/+0  +2/+4  +2/+3  -177/-226  +2/+3
      Caladea Bold  13.5 |      428    547 | +0/+0  +0/+0  +0/-1  +2/+3  +0/+0  -185/-236  +1/+1
      Caladea Bold  14.0 |      445    568 | +0/+0  +0/+0  +0/-1  +0/+0  +0/+0  -193/-246  +0/+0
      Caladea Bold  14.5 |      461    588 | +0/+0  +0/+0  +0/+0  +1/+1  +0/+1  -200/-254  -1/+0
      Caladea Bold  15.0 |      478    610 | +0/+0  +0/-1  +0/+0  -2/+0  -2/-2  -208/-265  -2/-2
      Caladea Bold  15.5 |      491    627 | +0/+0  +0/-1  +0/+0  +3/+5  +1/+2  -212/-270  +1/+2
      Caladea Bold  16.0 |      508    648 | +0/+0  +0/+0  +0/+0  +0/+1  -1/+1  -220/-280  +0/+1
      Caladea Bold  16.5 |      521    665 | +0/+0  +0/+0  +0/+0  +5/+6  +3/+5  -224/-285  +3/+5
      Caladea Bold  17.0 |      542    694 | +0/+0  +0/+0  +0/+0  -2/-2  -2/-4  -236/-303  -2/-4
      Caladea Bold  17.5 |      555    712 | +0/+0  +0/+0  +0/-1  +2/+1  +0/-2  -240/-309  +1/-2
      Caladea Bold  18.0 |      572    733 | +0/+0  +0/+0  +0/-1  +0/-2  +0/-2  -248/-319  +0/-2
      Caladea Bold  18.5 |      588    754 | +0/+0  +0/-1  +0/+0  +1/-3  +0/-3  -255/-328  -1/-4
      Caladea Bold  19.0 |      601    770 | +0/+0  +0/+0  +0/+0  +2/+3  +2/+1  -259/-333  +2/+1
      Caladea Bold  19.5 |      622    796 | +0/+0  +0/+0  +0/+0  -1/-2  -3/-5  -271/-347  -3/-5
      Caladea Bold  20.0 |      635    813 | +0/+0  +0/+0  +0/+0  +0/-2  +1/+0  -275/-353  +0/-2
      Caladea Bold  20.5 |      652    834 | +0/+0  +0/+0  +0/+0  +1/-1  -1/-2  -283/-362  -1/-2
      Caladea Bold  21.0 |      669    855 | +0/+0  +0/+0  +0/+0  -2/-1  -2/-3  -291/-372  -2/-3
      Caladea Bold  21.5 |      682    873 | +0/+0  +0/+0  +0/-1  +2/+2  +0/-1  -295/-378  +1/+0
      Caladea Bold  22.0 |      699    894 | +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -303/-388  +0/-1
      Caladea Bold  22.5 |      715    914 | +0/+0  +0/+0  +0/+0  +1/+0  +0/-1  -310/-396  -1/-2
      Caladea Bold  23.0 |      732    936 | +0/+0  +0/-1  +0/+0  -2/-1  -2/-3  -318/-407  -2/-3
      Caladea Bold  23.5 |      745    953 | +0/+0  +0/-1  +0/+0  +3/+3  +1/+0  -322/-412  +1/+0
