              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
           Carlito  17.5 |      589      0 | -1/+754  +0/+755  +0/+755  -1/+754  -1/+754  -1/+753  -7/+741  -1/+754
           Carlito  18.0 |      603      0 | +2/+775  +0/+773  +0/+772  +2/+776  +2/+776  +2/+775  +6/+768  +2/+775
           Carlito  18.5 |      621      0 | +1/+796  +0/+797  +0/+797  +1/+797  +1/+797  +1/+797  +14/+820  +0/+797
           Carlito  19.0 |      639      0 | -4/+813  +0/+819  +0/+819  -1/+818  -1/+818  -1/+818  -4/+820  -1/+818
           Carlito  19.5 |      656      0 | +0/+842  +0/+840  +0/+839  -1/+840  -1/+840  -1/+840  +5/+847  -1/+840
           Carlito  20.0 |      670      0 | +3/+864  +0/+861  +0/+861  +2/+862  +2/+862  +2/+862  +18/+873  +2/+861
           Carlito  20.5 |      688      0 | +2/+885  +0/+882  +0/+882  +0/+882  +0/+882  +0/+882  +0/+873  +1/+883
           Carlito  21.0 |      706      0 | +1/+906  +0/+904  +0/+904  +0/+905  +0/+905  +0/+905  +8/+926  -1/+904
           Carlito  21.5 |      723      0 | -3/+923  +0/+928  +0/+928  -1/+925  -1/+925  -1/+925  +18/+953  -1/+926
           Carlito  22.0 |      737      0 | +0/+944  +0/+945  +0/+945  +2/+948  +2/+947  +2/+948  +4/+953  +2/+947
           Carlito  22.5 |      755      0 | +3/+970  +0/+967  +0/+967  +1/+969  +1/+969  +1/+969  +12/+979  +1/+969
           Carlito  23.0 |      773      0 | +2/+995  +0/+992  +0/+992  -1/+990  -1/+990  -1/+990  +21/+1006  +0/+990
           Carlito  23.5 |      790      0 | +2/+1016  +0/+1012  +0/+1012  -1/+1012  -1/+1012  -1/+1012  +4/+1006  -1/+1012
           Carlito  24.0 |      808      0 | -4/+1033  +0/+1034  +0/+1034  -2/+1034  -2/+1034  -2/+1034  -14/+1032  -2/+1034
           Caladea   5.0 |      159      0 | +2/+208  +0/+205  +0/+205  -1/+203  -1/+202  -1/+203  +0/+212  +0/+203
           Caladea   5.5 |      176      0 | -2/+225  +0/+226  +0/+225  -1/+224  -1/+224  -1/+223  -17/+212  -1/+223
           Caladea   6.0 |      191      0 | +0/+246  +0/+244  +0/+244  +0/+244  +0/+244  +0/+244  -6/+238  +0/+243
           Caladea   6.5 |      208      0 | -1/+267  +0/+265  +0/+264  -2/+263  -2/+263  -2/+263  +4/+265  -2/+264
           Caladea   7.0 |      222      0 | -2/+284  +0/+286  +0/+286  +0/+284  +0/+284  +0/+284  -10/+265  +0/+284
           Caladea   7.5 |      240      0 | +1/+309  +0/+307  +0/+307  -2/+305  -2/+304  -2/+305  -2/+318  -2/+304
           Caladea   8.0 |      254      0 | +0/+326  +0/+325  +0/+325  +0/+325  +0/+325  +0/+324  +11/+344  +0/+325
           Caladea   8.5 |      272      0 | -1/+347  +0/+346  +0/+346  -2/+345  -2/+345  -2/+345  -7/+344  -2/+345
           Caladea   9.0 |      286      0 | +2/+368  +0/+367  +0/+367  +0/+366  +0/+366  +0/+366  +5/+370  +0/+365
           Caladea   9.5 |      303      0 | -2/+386  +0/+388  +0/+388  -1/+386  -1/+386  -1/+385  +15/+397  -1/+385
           Caladea  10.0 |      318      0 | +0/+407  +0/+406  +0/+406  +0/+406  +0/+406  +0/+406  +0/+397  +0/+406
           Caladea  10.5 |      335      0 | -5/+423  +0/+427  +0/+427  -2/+426  -2/+426  -2/+426  +9/+450  -2/+426
           Caladea  11.0 |      349      0 | +2/+449  +0/+448  +0/+448  +0/+446  +0/+446  +0/+446  +21/+476  +0/+446
           Caladea  11.5 |      367      0 | -3/+466  +0/+469  +0/+469  -2/+467  -2/+466  -2/+467  +3/+476  -2/+467
           Caladea  12.0 |      381      0 | +0/+487  +0/+487  +0/+487  +0/+487  +0/+487  +0/+487  -11/+476  +0/+487
           Caladea  12.5 |      399      0 | -1/+508  +0/+508  +0/+508  -2/+507  -2/+507  -2/+507  -2/+503  -2/+507
           Caladea  13.0 |      413      0 | -2/+525  +0/+529  +0/+529  +0/+528  +0/+528  +0/+528  -16/+503  +0/+527
           Caladea  13.5 |      430      0 | -2/+547  +0/+550  +0/+550  -2/+547  -2/+547  -2/+547  -7/+556  -1/+548
           Caladea  14.0 |      445      0 | +0/+568  +0/+568  +0/+568  +0/+568  +0/+568  +0/+568  +5/+582  +0/+568
           Caladea  14.5 |      462      0 | -1/+588  +0/+589  +0/+589  -1/+589  -1/+589  -1/+589  -12/+582  -2/+588
           Caladea  15.0 |      476      0 | +2/+610  +0/+610  +0/+610  +0/+608  +0/+608  +0/+608  +0/+609  +0/+609
           Caladea  15.5 |      494      0 | -3/+627  +0/+632  +0/+632  -2/+629  -2/+629  -2/+629  +9/+635  -2/+629
           Caladea  16.0 |      508      0 | +0/+648  +0/+649  +0/+649  -1/+649  -1/+648  -1/+649  -5/+635  +0/+649
           Caladea  16.5 |      526      0 | -5/+665  +0/+671  +0/+671  -2/+670  -2/+670  -2/+669  +3/+688  -2/+669
           Caladea  17.0 |      540      0 | +2/+694  +0/+692  +0/+692  +0/+690  +0/+690  +0/+690  +16/+715  +0/+690
           Caladea  17.5 |      557      0 | -2/+712  +0/+713  +0/+712  -2/+710  -2/+709  -2/+710  -1/+715  -1/+710
           Caladea  18.0 |      572      0 | +0/+733  +0/+731  +0/+731  +0/+731  +0/+731  +0/+730  +10/+741  +0/+730
           Caladea  18.5 |      589      0 | -1/+754  +0/+751  +0/+751  -1/+751  -1/+751  -1/+751  +20/+768  -2/+751
           Caladea  19.0 |      603      0 | -2/+770  +0/+773  +0/+772  +0/+771  +0/+771  +0/+771  +6/+768  +0/+771
           Caladea  19.5 |      621      0 | +1/+796  +0/+794  +0/+794  -2/+791  -2/+791  -2/+791  -12/+794  -2/+791
           Caladea  20.0 |      635      0 | +0/+813  +0/+811  +0/+811  +1/+813  +1/+813  +1/+812  +0/+820  +0/+811
           Caladea  20.5 |      653      0 | -1/+834  +0/+833  +0/+833  -2/+832  -2/+832  -2/+831  -18/+820  -2/+832
           Caladea  21.0 |      667      0 | +2/+855  +0/+854  +0/+854  +0/+852  +0/+852  +0/+852  -6/+847  +0/+852
           Caladea  21.5 |      684      0 | -2/+873  +0/+875  +0/+875  -2/+872  -2/+872  -2/+872  +4/+873  -1/+872
           Caladea  22.0 |      699      0 | +0/+894  +0/+893  +0/+893  +0/+893  +0/+893  +0/+893  -11/+873  +0/+893
           Caladea  22.5 |      716      0 | -1/+914  +0/+914  +0/+914  -1/+913  -1/+913  -1/+913  -2/+926  -2/+913
           Caladea  23.0 |      730      0 | +2/+936  +0/+935  +0/+935  +0/+933  +0/+933  +0/+933  +11/+953  +0/+933
           Caladea  23.5 |      748      0 | -3/+953  +0/+956  +0/+956  -2/+953  -2/+953  -2/+953  -7/+953  -2/+953
           Caladea  24.0 |      762      0 | +0/+974  +0/+974  +0/+974  +0/+974  +0/+974  +0/+974  +5/+979  +0/+974
       DejaVu Sans   5.0 |      162      0 | +3/+207  +0/+205  +0/+204  +1/+205  +1/+204  +1/+205  -3/+212  +2/+205
       DejaVu Sans   5.5 |      180      0 | +2/+229  +0/+226  +0/+226  +0/+226  +0/+226  +0/+226  -21/+212  +0/+226
       DejaVu Sans   6.0 |      198      0 | -3/+246  +0/+247  +0/+247  -1/+247  -1/+247  -1/+247  -13/+238  -2/+246
       DejaVu Sans   6.5 |      212      0 | +0/+267  +0/+265  +0/+265  +1/+267  +1/+267  +1/+267  +0/+265  +1/+267
       DejaVu Sans   7.0 |      229      0 | +0/+288  +0/+289  +0/+289  +0/+288  +0/+287  +0/+288  -17/+265  +0/+287
       DejaVu Sans   7.5 |      247      0 | -1/+310  +0/+311  +0/+311  -1/+308  -1/+308  -1/+308  -9/+291  -1/+308
       DejaVu Sans   8.0 |      261      0 | +1/+330  +0/+328  +0/+328  +1/+328  +1/+328  +1/+328  +4/+344  +1/+329
       DejaVu Sans   8.5 |      279      0 | +0/+351  +0/+350  +0/+350  -1/+349  -1/+349  -1/+349  -14/+344  -1/+349
       DejaVu Sans   9.0 |      296      0 | +0/+373  +0/+370  +0/+370  -1/+370  -1/+370  -1/+370  -5/+370  -1/+370
       DejaVu Sans   9.5 |      310      0 | -1/+389  +0/+388  +0/+388  +1/+390  +1/+390  +1/+390  +8/+397  +1/+390
       DejaVu Sans  10.0 |      328      0 | -2/+411  +0/+413  +0/+413  +0/+411  +0/+411  +0/+411  -10/+397  -1/+411
       DejaVu Sans  10.5 |      342      0 | +1/+432  +0/+430  +0/+430  +2/+431  +2/+431  +2/+431  +2/+423  +2/+431
       DejaVu Sans  11.0 |      360      0 | +0/+453  +0/+452  +0/+452  +0/+452  +0/+451  +0/+452  +10/+476  +0/+452
       DejaVu Sans  11.5 |      377      0 | +0/+474  +0/+473  +0/+472  +0/+473  +0/+473  +0/+473  -7/+476  +0/+472
       DejaVu Sans  12.0 |      392      0 | +2/+496  +0/+491  +0/+491  +1/+493  +1/+493  +1/+492  +5/+503  +1/+493
       DejaVu Sans  12.5 |      409      0 | +2/+517  +0/+512  +0/+511  +0/+513  +0/+513  +0/+513  +14/+529  +0/+513
