path	ext	family	batch	kind	part	feature
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart3.xml	c:barChart
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart3.xml	@grouping_pctstk
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart4.xml	c:doughnutChart
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart4.xml	@holeSize
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart1.xml	c:barChart
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart2.xml	c:barChart
slides/done-011/pptx/3492.pptx	pptx	slides	done-011		ppt/charts/chart2.xml	@grouping_stacked
slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	pptx	slides	done-012		ppt/charts/chart1.xml	c:barChart
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	pptx	slides	done-015		ppt/charts/chart1.xml	c:scatterChart
slides/done-015/pptx/RPA P4 - Advanced Material.pptx	pptx	slides	done-015		ppt/charts/chart1.xml	@scatterStyle_line
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	pptx	slides	extra-001		ppt/charts/chart1.xml	c:scatterChart
slides/extra-001/pptx/FAAAIandtheArtandScienceofV&Vfinal.pptx	pptx	slides	extra-001		ppt/charts/chart1.xml	@scatterStyle_line
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	words	ceiling-001	ceiling	word/charts/chart1.xml	c:scatterChart
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	words	ceiling-001	ceiling	word/charts/chart1.xml	@scatterStyle_line
words/chartset-001/docx/clustered-column-template.docx	docx	words	chartset-001		word/charts/chart1.xml	c:barChart
words/chartset-001/docx/clustered-column-result.docx	docx	words	chartset-001		word/charts/chart1.xml	c:barChart
words/chartset-001/docx/pie-chart-template.docx	docx	words	chartset-001		word/charts/chart1.xml	c:pie3DChart
words/chartset-001/docx/pie-chart-result.docx	docx	words	chartset-001		word/charts/chart1.xml	c:pie3DChart
sheets/chartset-001/xlsx/016_advanced_excel_radar.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:radarChart
sheets/chartset-001/xlsx/032_advanced_excel_radar.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:radarChart
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:scatterChart
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@scatterStyle_line
sheets/chartset-001/xlsx/006_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@smooth_1
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:areaChart
sheets/chartset-001/xlsx/005_advanced_excel_area.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@grouping_stacked
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:doughnutChart
sheets/chartset-001/xlsx/028_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@holeSize
sheets/chartset-001/xlsx/001_advanced_excel_bar.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:barChart
sheets/chartset-001/xlsx/025_advanced_excel_bar.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:barChart
sheets/chartset-001/xlsx/033_advanced_excel_bar.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:barChart
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:lineChart
sheets/chartset-001/xlsx/002_advanced_excel_line.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@smooth_1
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	c:scatterChart
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@scatterStyle_line
sheets/chartset-001/xlsx/022_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-001		xl/charts/chart1.xml	@smooth_1
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:areaChart
sheets/chartset-002/xlsx/013_advanced_excel_area.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@grouping_stacked
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:scatterChart
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@scatterStyle_line
sheets/chartset-002/xlsx/030_advanced_excel_scatter.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@smooth_1
sheets/chartset-002/xlsx/011_advanced_excel_pie.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:pieChart
sheets/chartset-002/xlsx/027_advanced_excel_pie.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:pieChart
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:doughnutChart
sheets/chartset-002/xlsx/012_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@holeSize
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:areaChart
sheets/chartset-002/xlsx/021_advanced_excel_area.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@grouping_stacked
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:lineChart
sheets/chartset-002/xlsx/026_advanced_excel_line.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@smooth_1
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:lineChart
sheets/chartset-002/xlsx/034_advanced_excel_line.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	@smooth_1
sheets/chartset-002/xlsx/003_advanced_excel_pie.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:pieChart
sheets/chartset-002/xlsx/007_advanced_excel_bubble.xlsx	xlsx	sheets	chartset-002		xl/charts/chart1.xml	c:bubbleChart
sheets/chartset-003/xlsx/031_advanced_excel_bubble.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:bubbleChart
sheets/chartset-003/xlsx/015_advanced_excel_bubble.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:bubbleChart
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:doughnutChart
sheets/chartset-003/xlsx/004_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	@holeSize
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:doughnutChart
sheets/chartset-003/xlsx/020_advanced_excel_doughnut.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	@holeSize
sheets/chartset-003/xlsx/008_advanced_excel_radar.xlsx	xlsx	sheets	chartset-003		xl/charts/chart1.xml	c:radarChart
