odfpath	srcext	srcpath	family	batch	feature
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	pptx	slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	series-class:chart:bar
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@percentage_true
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	pptx	slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	slides	chartset-009	@solid_type
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	pptx	slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	slides	chartset-004	class:chart:circle
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	pptx	slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	slides	chartset-004	series-class:chart:circle
slides/chartset-004/odp/004_advanced_powerpoint_pie.odp	pptx	slides/chartset-004/pptx/004_advanced_powerpoint_pie.pptx	slides	chartset-004	@solid_type
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	slides	chartset-004	class:chart:ring
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	slides	chartset-004	series-class:chart:circle
slides/chartset-004/odp/013_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/013_advanced_powerpoint_doughnut.pptx	slides	chartset-004	@solid_type
slides/chartset-004/odp/018_advanced_powerpoint_column.odp	pptx	slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	slides	chartset-004	class:chart:bar
slides/chartset-004/odp/018_advanced_powerpoint_column.odp	pptx	slides/chartset-004/pptx/018_advanced_powerpoint_column.pptx	slides	chartset-004	series-class:chart:bar
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	pptx	slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	slides	chartset-004	class:chart:circle
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	pptx	slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	slides	chartset-004	series-class:chart:circle
slides/chartset-004/odp/020_advanced_powerpoint_pie.odp	pptx	slides/chartset-004/pptx/020_advanced_powerpoint_pie.pptx	slides	chartset-004	@solid_type
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	slides	chartset-004	class:chart:ring
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	slides	chartset-004	series-class:chart:circle
slides/chartset-004/odp/021_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/021_advanced_powerpoint_doughnut.pptx	slides	chartset-004	@solid_type
slides/chartset-004/odp/022_advanced_powerpoint_area.odp	pptx	slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	slides	chartset-004	class:chart:area
slides/chartset-004/odp/022_advanced_powerpoint_area.odp	pptx	slides/chartset-004/pptx/022_advanced_powerpoint_area.pptx	slides	chartset-004	series-class:chart:area
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	pptx	slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	slides	chartset-004	class:chart:bar
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	pptx	slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	slides	chartset-004	series-class:chart:bar
slides/chartset-004/odp/025_advanced_powerpoint_bar.odp	pptx	slides/chartset-004/pptx/025_advanced_powerpoint_bar.pptx	slides	chartset-004	@vertical_true
slides/chartset-004/odp/026_advanced_powerpoint_column.odp	pptx	slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	slides	chartset-004	class:chart:bar
slides/chartset-004/odp/026_advanced_powerpoint_column.odp	pptx	slides/chartset-004/pptx/026_advanced_powerpoint_column.pptx	slides	chartset-004	series-class:chart:bar
slides/chartset-004/odp/029_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	slides	chartset-004	class:chart:ring
slides/chartset-004/odp/029_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	slides	chartset-004	series-class:chart:circle
slides/chartset-004/odp/029_advanced_powerpoint_doughnut.odp	pptx	slides/chartset-004/pptx/029_advanced_powerpoint_doughnut.pptx	slides	chartset-004	@solid_type
slides/chartset-001/odp/008_advanced_powerpoint_bubble.odp	pptx	slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	slides	chartset-001	class:chart:bar
slides/chartset-001/odp/015_advanced_powerpoint_scatter.odp	pptx	slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	slides	chartset-001	class:chart:bar
slides/chartset-001/odp/016_advanced_powerpoint_bubble.odp	pptx	slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	slides	chartset-001	class:chart:bar
slides/chartset-001/odp/031_advanced_powerpoint_scatter.odp	pptx	slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	slides	chartset-001	class:chart:bar
slides/chartset-001/odp/bar_chart.odp	pptx	slides/chartset-001/pptx/bar_chart.pptx	slides	chartset-001	class:chart:bar
slides/chartset-001/odp/bar_chart.odp	pptx	slides/chartset-001/pptx/bar_chart.pptx	slides	chartset-001	series-class:chart:bar
slides/chartset-001/odp/combo_bar_line_chart.odp	pptx	slides/chartset-001/pptx/combo_bar_line_chart.pptx	slides	chartset-001	class:chart:bar
