document	kept	stated	heights
Bulletin-37-Appendix-2-immediate-detriment-data-request.ods	1	101	0.1874in
Estero Rotary Awards.ods	1	46	0.2709in
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0.ods	1	164	0.2083in
List-of-Members-August-2017.ods	1	127	0.1665in
UAE Type Accepted Aircraft Models.ods	1	117	0.1772in
Infotabelle_WLAN im Flugzeug.ods	1	24	0.2189in
Published_Issuances_2024.ods	1	25	0.1563in
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA.ods	1	64	0.198in
register-changes-in-may-2024---adujsted.ods	1	49	0.2189in
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit.ods	1	198	0.2189in
RVSM_Non_approved_list_2025_84c0b3f4ac.ods	1	36	0.198in
template-ECSPR-notifications.ods	1	31	0.1772in
RegChangeReport.ods	1	145	0.1665in
TOTAL	182744	241539	166 documents
