part	groups	axpairs	valax	dateax	catax	plotvisonly	varycolors	dpt	cellrange	dlblrange	strlit	numlit	spacebold	axorder	gaxorder	doc
ppt/charts/chart7.xml	1	1	1	1	0	True	0	0	0	0	0	0	0	dateAx:62138240;valAx:62181376	lineChart:62138240,62181376:3	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:61466112;valAx:61467648	lineChart:61466112,61467648:4	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	1	catAx:116638464;valAx:116640384	lineChart:116638464,116640384:3	slides/done-011/pptx/171128IPAP.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:126066824;valAx:126069176	lineChart:126066824,126069176:1	slides/done-011/pptx/1_Country-Updates_DRC_English.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:127698264;valAx:127697872	barChart:127698264,127697872:2	slides/done-011/pptx/1_Country-Updates_DRC_English.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:127702184;valAx:127702576	lineChart:127702184,127702576:2	slides/done-011/pptx/1_Country-Updates_DRC_English.pptx
ppt/charts/chart1.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/done-011/pptx/3495.pptx
ppt/charts/chart2.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/done-011/pptx/3495.pptx
ppt/charts/chart3.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/done-011/pptx/3495.pptx
ppt/charts/chart4.xml	1	1	0	0	0	True	1	2	0	0	0	0	0		pieChart::1	slides/done-011/pptx/3495.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:185943168;valAx:185945472	barChart:185943168,185945472:2	slides/done-011/pptx/3492.pptx
ppt/charts/chart4.xml	1	1	0	0	0	True	1	10	0	0	0	0	0		doughnutChart::1	slides/done-011/pptx/3492.pptx
