# ours=dotnet/probes/odp-running-r71/ours-before.tsv ref=dotnet/probes/odp-master-r70/ref.tsv
path	pages	glyphs	verdict
slides/done-002/odp/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.odp	10/10	2664/2925	words
slides/done-002/odp/ws_prod-g-doc-Events-Part-M-presentation.odp	30/30	10098/10489	words
slides/done-003/odp/010605Vul.odp	21/21	5746/5746	match
slides/done-003/odp/02_REDAC_New ATM briefing _March 2017v2.odp	6/6	4945/4920	match
slides/done-003/odp/97936.odp	15/15	6541/6561	match
slides/done-003/odp/Inducement-to-Insurance-Business.odp	22/22	12820/12899	match
slides/done-003/odp/NCW-2024-Guide-.odp	1/1	1158/1181	match
slides/done-003/odp/ev122_jj-liew-tort-of-bribery-webinar.odp	24/24	5594/6738	words
slides/done-003/odp/outlook_of_nigerian_pension_sector.odp	12/12	5491/5802	words
slides/done-003/odp/ws_prod-g-doc-Events-2007-Privileges.odp	15/15	3622/4160	words
slides/done-003/odp/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.odp	55/55	29151/33915	words
slides/done-003/odp/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.odp	38/38	12373/14835	words
slides/done-004/odp/0335fab9-79f0-4944-b92c-f223837ca2d8.odp	12/12	4404/4499	words
slides/done-004/odp/DOE Interactive Exercise Presentation draft rev 2.odp	10/10	2811/2744	words
slides/done-004/odp/Item 6b - UNSD - Dissemination through APIs.odp	10/10	2368/2420	words
slides/done-004/odp/Liturgical-Commission-2025-Convention-Presentation.odp	9/9	1319/1804	words
slides/done-004/odp/Session 21- The option to expand & abandon.odp	12/12	4289/4268	match
slides/done-004/odp/attendance-updates-for-governors.odp	30/30	17309/17298	match
slides/done-004/odp/ghgp-supply-chain-initiative_20100323_wri.odp	52/52	22005/22442	match
slides/done-004/odp/redac-fullComm-201705-EE-FRs-briefing.odp	8/8	2268/2268	match
slides/done-004/odp/undp_presentation_revised_17_may.odp	22/22	10449/10556	match
slides/done-004/odp/ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.odp	10/10	1684/1884	words
slides/done-005/odp/5b_upasana_dasgupta_-_liability_and_registration.odp	15/15	3675/5024	words
slides/done-005/odp/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.odp	19/19	11661/11586	match
slides/done-005/odp/ITE106-Chapter 4.odp	47/47	16077/16509	words
slides/done-005/odp/NAS-Infrastructure-Roadmaps-HSI.odp	9/9	9003/9027	match
slides/done-005/odp/NAS-Infrastructure-Roadmaps-Weather.odp	11/11	12081/12083	match
slides/done-005/odp/berlin.odp	29/29	7246/7403	words
slides/done-005/odp/c_291533.odp	19/19	5998/5913	match
slides/done-005/odp/manufacturing_process_simulation_working_group_overview_2023.odp	7/7	2984/4733	words
slides/done-005/odp/pods05.odp	60/60	10641/10676	match
slides/done-005/odp/ws_prod-g-doc-Events-industrymeeting18112004-Aercap.odp	12/12	6548/6938	words
slides/done-006/odp/Course Selection 2025-26 Current Grade 09.odp	10/10	3214/3343	words
slides/done-006/odp/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.odp	9/9	3456/3451	match
slides/done-006/odp/Lepore.odp	20/20	10770/10767	match
slides/done-006/odp/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.odp	18/18	12696/12620	match
slides/done-006/odp/Stakeholders-v08052017 - v5.odp	13/13	3409/3388	match
slides/done-006/odp/iris07.12.12.odp	21/21	4718/4795	match
slides/done-006/odp/nabiyeleul_1_aviation_service_28_july_2020.odp	9/9	3170/3146	match
slides/done-006/odp/social-media-app-bulletin-january.odp	4/4	4001/4001	match
slides/done-006/odp/wopanets-innovationdays-06-16.odp	15/15	3685/3625	match
slides/done-006/odp/ws_prod-g-doc-Events-r-6.-ESM.odp	25/25	11289/11330	match
slides/done-007/odp/1-secretariat.odp	10/10	1034/1034	match
slides/done-007/odp/10. Drawings, circuit diagrams and schematics.odp	23/23	8444/8444	match
slides/done-007/odp/71393_pp7.odp	39/39	12475/12475	match
slides/done-007/odp/BHCA Part II webinar #2 - 10.2020.odp	21/21	7020/7216	words
slides/done-007/odp/Boeing 737 Max - Group 5.odp	2/2	27/27	match
slides/done-007/odp/PAL Block Intro 2023.odp	20/20	8211/8225	match
slides/done-007/odp/bitesize-writing-a-report.odp	15/15	3771/3791	match
slides/done-007/odp/flying-by-numbers-presentation.odp	10/10	2353/2379	match
slides/done-007/odp/introduction_to_bea_tuxedo.odp	40/40	8029/9893	words
slides/done-007/odp/joint_user_outcomes_michael_fullerton_29.06.12.odp	20/20	9738/9836	match
slides/done-008/odp/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.odp	94/94	22585/22481	match
slides/done-008/odp/AATF-Fact-Sheet-2025.odp	9/9	4611/4611	match
slides/done-008/odp/EG1_dsrc tech.odp	26/26	10057/11132	words
slides/done-008/odp/FIT26-Presentation-Airservices-Update.odp	11/11	1295/1295	match
slides/done-008/odp/Framing Europe.odp	24/24	11542/11542	match
slides/done-008/odp/G-InvoicingKeithJarboe.odp	13/13	6967/6968	match
slides/done-008/odp/RESPA_-_Section_8_Webinar.odp	35/35	13154/13293	match
slides/done-008/odp/ROK-PI Climate Bulletin - Edition 2017-06.odp	2/2	2330/2332	match
slides/done-008/odp/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.odp	36/36	13420/13459	match
slides/done-008/odp/item_3-environmental_process_briefing.odp	12/12	1765/1765	match
slides/done-009/odp/30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1.odp	18/18	7098/7644	words
slides/done-009/odp/Airport Planning 09112013.odp	9/9	3631/3591	match
slides/done-009/odp/COMSTAC_11_5_2021am_2.odp	39/39	16332/16225	match
slides/done-009/odp/Employment-Based_I-485.odp	42/42	13194/13353	match
slides/done-009/odp/FIT26-Presentation-PR-Briefing-Debrief-Airbus.odp	9/9	6699/7273	words
slides/done-009/odp/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.odp	12/12	1758/1868	words
slides/done-009/odp/[Christophe]NLP_reseau_inge_stat.odp	17/17	4600/4532	match
slides/done-009/odp/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.odp	38/38	4340/4394	match
slides/done-009/odp/iep-amount-frequency-for-webinar.odp	39/39	9314/9154	match
slides/done-009/odp/redac-sas-201403-ppt-portfolio-rev-sim.odp	14/14	13013/13014	match
slides/done-010/odp/BUS-Chapter 05.odp	50/50	12540/12362	match
slides/done-010/odp/BasicMed_AME_Presentation.odp	18/18	5006/4930	match
slides/done-010/odp/Copy of Full deck with references Promotion of Outside Interests at Work final(1).odp	33/33	17155/17384	match
slides/done-010/odp/DoIRD Meeting 16JAN14 v1-1.odp	15/15	5047/5886	words
slides/done-010/odp/John_Broggio__RSS_Campion_event_John_Broggio.odp	25/25	6971/6867	match
slides/done-010/odp/REDAC Briefing_SSIT_CARA_08132014.ppt.odp	14/14	2422/2664	words
slides/done-010/odp/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.odp	24/24	20834/23899	words
slides/done-010/odp/Tax factsheet 2022 (1).odp	27/27	13750/13637	match
slides/done-010/odp/passiv.odp	21/21	6596/6716	match
slides/done-010/odp/section_1_our_rights_presentation.odp	30/30	21973/22132	match
slides/done-011/odp/171128IPAP.odp	40/40	25298/25433	match
slides/done-011/odp/1_Country-Updates_DRC_English.odp	16/16	4269/4281	match
slides/done-011/odp/23-session-2-pptx.odp	16/16	1836/1836	match
slides/done-011/odp/3492.odp	22/22	6990/6833	words
slides/done-011/odp/3495.odp	26/26	4462/4375	match
slides/done-011/odp/B2B-Center-Readiness-and-Student-Retention.odp	33/33	7729/7768	match
slides/done-011/odp/NAS-Infrastructure-Roadmaps-v16.0.odp	137/137	106925/106980	match
slides/done-011/odp/Session-1-Presentation-Reporting-Forms-Form-12-final.odp	15/15	6262/6267	match
slides/done-011/odp/_1___Opatrny_Ales_United_Kingdom_business_opportunities_final.odp	25/25	9037/8990	match
slides/done-011/odp/order-of-worship-ppt-revised-2018.odp	28/28	5347/5302	match
slides/done-012/odp/429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3.odp	20/20	17057/17627	words
slides/done-012/odp/County ACHS Presentaion Webinar 8-16-16 Peg.odp	26/26	7297/7599	words
slides/done-012/odp/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.odp	39/39	15914/17949	words
slides/done-012/odp/JesuitAssocOfStudentPersonnel.odp	31/31	7268/7310	match
slides/done-012/odp/REDAC briefing March12-13-2014jemvbFINAL.ppt.odp	25/25	15920/15773	match
slides/done-012/odp/SRDMG(16)024_60 GHz onboard airplanes.odp	26/26	9571/10312	words
slides/done-012/odp/Sean Monogue.odp	15/15	4803/4950	words
slides/done-012/odp/gillikin_online_user_mtg_2010.odp	40/40	7901/7753	match
slides/done-012/odp/vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c.odp	19/19	3621/3573	match
slides/done-012/odp/vvsummit2022-SAIC-PRESENTATION.odp	19/19	3621/3573	match
slides/done-013/odp/2014BSA_Sunday_Killion.odp	50/50	16859/17188	match
slides/done-013/odp/2015-Civil-Rights-Website-training.odp	94/94	34484/34818	match
slides/done-013/odp/FAA_Form_337.odp	67/67	29612/29447	match
slides/done-013/odp/PRM_training.odp	22/22	10593/10565	match
slides/done-013/odp/Structural Testing.odp	89/89	20133/20360	match
slides/done-013/odp/chapter_4_0.odp	54/54	18643/18883	match
slides/done-013/odp/hofman.odp	13/13	2941/2945	match
slides/done-013/odp/redac-sas-201703-hf-research-division.odp	13/13	4874/4879	match
slides/done-013/odp/schematicplaymar21.odp	21/21	11122/11470	words
