doc	ours_items	ref_items	ours_meanw	ref_meanw	width_ratio
easa-form-1__docx.pdf	47	42	0.695	0.688	1.010
einvoice-summary-worksheet__xlsx.pdf	52	54	0.769	0.769	1.001
fishbone-diagram-template-ppt-1__pptx.pdf	51	54	1.882	1.835	1.026
fleetfastfacts16nov2023__docx.pdf	27	29	0.500	0.500	1.000
flightstandards-doc-Cross-reference-table_version02__xlsx.pdf	168	180	0.750	0.750	1.000
flying-by-numbers-presentation__pptx.pdf	23	23	0.850	0.850	1.000
flying-log-passenger-23rd-september-2014__xls.pdf	623	653	0.750	0.383	1.961
fm-provider-service-measures__xlsx.pdf	162	196	0.861	0.372	2.315
foca_form_1__doc.pdf	33	35	0.671	0.676	0.993
form_1123_application_form_rvsm_spa__docx.pdf	82	90	0.500	0.506	0.989
fse_identification_form__xlsx.pdf	23	24	1.272	1.292	0.985
fy20-may20-sep20__xlsx.pdf	254	279	0.750	0.713	1.053
fy2010-aip-grants__xls.pdf	401	431	0.750	0.713	1.053
fy2011-aip-grants__xls.pdf	395	425	0.750	0.750	1.000
gpp-pr-top-7-office-markets-4q-2023__docx.pdf	56	60	0.500	0.482	1.038
grants-2005__xls.pdf	349	361	0.750	0.750	1.000
iep-amount-frequency-for-webinar__ppt.pdf	15	15	1.367	0.974	1.403
info-bulletin-601__doc.pdf	32	35	0.500	0.509	0.983
jobs-bulletin-51-22-december-2025__xlsx.pdf	140	148	0.750	0.750	1.000
joint_user_outcomes_michael_fullerton_29.06.12__ppt.pdf	25	28	1.200	0.490	2.447
june_2025_published__xlsx.pdf	14	15	0.750	0.368	2.041
line_chart__pptx.pdf	22	21	1.568	1.595	0.983
links-2026__xlsx.pdf	294	353	0.750	0.730	1.027
mde087077~283__docx.pdf	46	55	0.500	0.685	0.729
nabiyeleul_1_aviation_service_28_july_2020__pptx.pdf	34	34	2.625	2.625	1.000
npias_2009_appA__xls.pdf	637	664	0.207	0.262	0.792
orbus_togaf_tool_csq__xls.pdf	222	248	0.506	0.297	1.702
part-145-approval list (1)__docx.pdf	269	231	0.506	0.506	0.998
part-145-approval list 2025__docx.pdf	229	208	0.507	0.507	0.999
part-147_approval list_20230119__docx.pdf	102	103	0.500	0.506	0.988
permit-applications-determined-july-2015__xls.pdf	136	143	1.110	0.285	3.890
private-hire-operators-licensed__docx.pdf	57	57	0.500	0.500	1.000
programs contact list as of 07-01-10__xls.pdf	346	368	0.442	0.383	1.154
redac-fullComm-201705-EE-FRs-briefing__pptx.pdf	48	48	0.794	0.794	1.000
redac-sas-201503-fy17-research-portfolio__xlsx.pdf	166	184	1.099	0.719	1.529
register-changes-in-may-2024---adujsted__xlsx.pdf	96	115	0.750	0.750	1.000
scatter_chart__pptx.pdf	23	23	0.749	0.737	1.017
section_1_our_rights_presentation__pptx.pdf	62	72	0.879	0.894	0.983
sistem-rekod-markah-srm-_-rekod-master__xlsx.pdf	51	52	0.750	0.750	1.000
slcc-architecture-uu-architecture__docx.pdf	87	85	0.500	0.500	1.000
stacked_area_chart__pptx.pdf	12	11	0.749	0.737	1.016
stacked_bar_chart__pptx.pdf	12	11	0.749	0.737	1.016
te.iors.00048-002 SUP Questionnaire__docx.pdf	161	161	0.341	0.341	1.000
technical-architecture__docx.pdf	19	23	0.500	0.483	1.036
template-ECSPR-notifications__xlsx.pdf	71	87	1.370	1.428	0.959
tk-syllabus-comparison-document-v5__xlsx.pdf	13	15	0.750	0.771	0.973
ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles__ppt.pdf	15	18	2.250	2.072	1.086
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt.pdf	15	15	2.250	2.239	1.005
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt.pdf	2214	2237	0.675	0.669	1.009
