doc	pages	ink_signed	ink_abs	residual	residual_per_page	ceiling_pages	major	major_on_ceiling
084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c__pptx	3	0.25	0.25	0.25	0.083	0	2	0
bar_chart__pptx	1	0.24	0.24	0.24	0.240	0	0	0
041_Crosswise_Quadrant_Diagram_ea8bdf52__pptx	3	0.19	0.22	0.22	0.073	0	0	0
050_Five-Point_Radial_Hub_00793e08__pptx	3	0.15	0.22	0.22	0.073	0	0	0
071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec__pptx	1	0.01	0.22	0.22	0.220	0	0	0
083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12__pptx	3	0.14	0.22	0.22	0.073	0	0	0
059_Four-Part_Concept_Puzzle_30cea7e5__pptx	6	0.14	0.20	0.20	0.033	0	0	0
097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592__pptx	3	0.19	0.20	0.20	0.067	0	0	0
070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642__pptx	1	0.02	0.19	0.19	0.190	0	0	0
051_Five-Stage_Zigzag_Timeline_2bd39be9__pptx	3	0.14	0.18	0.18	0.060	0	0	0
069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc__pptx	1	0.04	0.18	0.18	0.180	0	0	0
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx	3	0.06	0.18	0.18	0.060	0	0	0
092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00__pptx	3	0.16	0.18	0.18	0.060	0	0	0
006_advanced_powerpoint_area__pptx	1	0.17	0.17	0.17	0.170	0	0	0
042_Diamond_Hub_Infographic_a60cfaa1__pptx	3	0.15	0.17	0.17	0.057	0	0	0
046_Eight-Point_Strategic_Compass_35ee62de__pptx	3	0.15	0.17	0.17	0.057	0	0	0
065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419__pptx	3	0.06	0.17	0.17	0.057	0	0	0
005_advanced_powerpoint_doughnut__pptx	1	0.16	0.16	0.16	0.160	0	0	0
013_advanced_powerpoint_doughnut__pptx	1	0.16	0.16	0.16	0.160	0	0	0
021_advanced_powerpoint_doughnut__pptx	1	0.16	0.16	0.16	0.160	0	0	0
