name	ours_pages	ref_pages	ours_glyphs	ref_glyphs	unemb	verdict
te.iors.00048-002 SUP Questionnaire	3	4	3426	3627	0	pages,words
technical report template	8	8	4068	4068	0	match
technical-architecture	8	8	6772	6820	0	match
technical-memo-format	5	5	9300	9300	0	match
technical-report-template	7	7	3860	3860	0	match
template---tpr-technical-progress-report-with-guidance	7	8	9364	9364	0	pages
template-technical-report	10	10	4363	4363	0	match
tibs_guidelines_2	13	13	16450	16450	0	match
xx_SETIS_PWS_template_10.19.22	15	15	23630	25238	0	words
手机免提系统TSB	2	3	1172	1189	0	pages
