track   binary    face               sz   n   offset    pixel     err    exact     err  spread
words   24.2.7.2  Carlito            10  10    3.392    3.387  +0.005    3.418  -0.026   0.047
words   26.2.4.2  Carlito            10  10    3.420    3.387  +0.033    3.418  +0.002   0.046
words   24.2.7.2  Carlito            11   5    3.741    3.742  -0.001    3.760  -0.019   0.038
words   26.2.4.2  Carlito            11   5    3.769    3.742  +0.027    3.760  +0.009   0.038
words   24.2.7.2  Carlito            12   5    4.137    4.124  +0.013    4.102  +0.036   0.026
words   26.2.4.2  Carlito            12   5    4.166    4.124  +0.041    4.102  +0.064   0.026
words   24.2.7.2  Carlito            13   5    4.105    4.110  -0.005    4.443  -0.338   0.021
words   26.2.4.2  Carlito            13   5    4.134    4.110  +0.024    4.443  -0.309   0.021
words   24.2.7.2  Carlito            14   5    4.863    4.861  +0.002    4.785  +0.078   0.039
words   26.2.4.2  Carlito            14   5    4.891    4.861  +0.030    4.785  +0.106   0.039
words   24.2.7.2  Carlito            16   5    5.228    5.244  -0.016    5.469  -0.241   0.011
words   26.2.4.2  Carlito            16   5    5.256    5.244  +0.012    5.469  -0.213   0.011
words   24.2.7.2  Carlito            18   5    6.374    6.378  -0.004    6.152  +0.221   0.036
words   26.2.4.2  Carlito            18   5    6.402    6.378  +0.024    6.152  +0.249   0.036
words   24.2.7.2  Carlito            20   5    7.129    7.129  -0.000    6.836  +0.293   0.018
words   26.2.4.2  Carlito            20   5    7.157    7.129  +0.028    6.836  +0.321   0.017
words   24.2.7.2  Carlito            24   3    7.865    7.880  -0.015    8.203  -0.338   0.041
words   26.2.4.2  Carlito            24   3    7.894    7.880  +0.013    8.203  -0.309   0.042

within 0.02 pt: pixel law 83 of 144, exact scaling 7
worst |offset - pixel| 0.041 pt; worst |offset - exact| 0.687 pt
