path	pages_base	pages_after	glyphs_base	glyphs_after	moved
slides/chartset-008/odp/072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.odp	3	3	407	407	-
slides/chartset-008/odp/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.odp	5	5	2032	2032	-
slides/chartset-009/odp/033_Battery_Percentage_Chart_c99c24b5.odp	3	3	1117	1117	-
slides/chartset-009/odp/052_Flame_Percentage_Chart_d27d49c4.odp	3	3	1421	1421	-
slides/chartset-010/odp/093_Insightful_Zoom_Chart_22b5464e.odp	3	3	1831	1831	-
slides/chartset-012/odp/061_Four-Stage_Serpentine_Chart_05699efe.odp	3	3	397	397	-
slides/done-003/odp/outlook_of_nigerian_pension_sector.odp	12	12	5802	5802	-
slides/done-004/odp/undp_presentation_revised_17_may.odp	22	22	10590	10590	-
slides/done-005/odp/pods05.odp	60	60	10665	10665	-
slides/done-007/odp/bitesize-writing-a-report.odp	15	15	3771	3771	-
slides/done-007/odp/flying-by-numbers-presentation.odp	10	10	2368	2368	-
slides/done-008/odp/EG1_dsrc tech.odp	26	26	11132	11132	-
slides/done-010/odp/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.odp	24	24	23961	23961	-
slides/done-011/odp/171128IPAP.odp	40	40	25522	25522	-
slides/done-011/odp/1_Country-Updates_DRC_English.odp	16	16	4281	4281	-
slides/done-011/odp/3492.odp	22	22	6833	6833	-
slides/done-011/odp/3495.odp	26	26	4375	4375	-
slides/done-012/odp/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.odp	39	39	18048	18048	-
slides/done-015/odp/RPA P4 - Advanced Material.odp	20	20	8679	8679	-
slides/extra-001/odp/FAAAIandtheArtandScienceofV&Vfinal.odp	30	30	5847	5847	-
words/ceiling-001/odt/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.odt	15	15	18558	18558	-
words/chartset-001/odt/clustered-column-result.odt	1	1	389	389	-
words/chartset-001/odt/clustered-column-template.odt	1	1	183	183	-
words/chartset-001/odt/pie-chart-result.odt	1	1	234	234	-
words/chartset-001/odt/pie-chart-template.odt	1	1	73	73	-
words/chartset-009/odt/027_Unit_Circle_Chart_Graphical_Chart_5462a579.odt	1	1	1557	1557	-
words/chartset-010/odt/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.odt	1	1	550	550	-
words/chartset-010/odt/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.odt	1	1	1198	1198	-
words/chartset-011/odt/029_Unit_Circle_Chart_Pie_Theme_8a922142.odt	1	1	573	573	-
words/chartset-012/odt/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.odt	1	1	549	549	-
