track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
sheets	sheets/batch-009/xlsx/Company_Seniority_Date_Calculator.xlsx	xlsx	3100	2991	3027	2918	73	73
sheets	sheets/batch-009/xlsx/PBN Matrix NAAs (V01).xlsx	xlsx	5571	5581	5535	5547	36	34
sheets	sheets/batch-009/xlsx/RegChangeReport.xlsx	xlsx	3148	3147	3116	3114	32	33
sheets	sheets/batch-009/xlsx/State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing.xlsx	xlsx	40851	40823	40448	40411	403	412
sheets	sheets/batch-009/xlsx/TDA_Smoke-Detectors.xlsx	xlsx	3788	3789	3765	3767	23	22
sheets	sheets/batch-009/xlsx/airports_6.xlsx	xlsx	11036	11053	11022	11039	14	14
sheets	sheets/batch-009/xlsx/sistem-rekod-markah-srm-_-rekod-master.xlsx	xlsx	5882	5857	5879	5854	3	3
sheets	sheets/batch-010/xls/EHEST-Pre-departure-checklist-Rev.-1-06-12-2016.xls	xls	8373	8380	8340	8345	33	35
sheets	sheets/batch-010/xls/INDEX_Digital_Transformation_Toolkits.xls	xls	1988	1988	1957	1957	31	31
sheets	sheets/batch-010/xls/PC1000.xls	xls	864	864	856	855	8	9
sheets	sheets/batch-010/xls/TOGAF9-Tool-ConfReqts-CSQ.xls	xls	24201	24092	23615	23513	586	579
sheets	sheets/batch-010/xls/Template Pilot Logbook JAR-FCL V3.0.xls	xls	1340	1610	1333	1531	7	79
sheets	sheets/batch-010/xls/cy01_state.xls	xls	20557	20554	20444	20441	113	113
sheets	sheets/batch-010/xls/cy06_primary_np_comm.xls	xls	7089	7089	7074	7074	15	15
sheets	sheets/batch-010/xlsx/DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0).xlsx	xlsx	15623	15622	15617	15616	6	6
sheets	sheets/batch-010/xlsx/Data-Architecture-Tool-Fit-Assessment-Template.xlsx	xlsx	2229	2230	2218	2219	11	11
sheets	sheets/batch-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	xlsx	4641	4814	4380	4519	261	295
sheets	sheets/batch-011/xls/List of EQS securities_0.xls	xls	33117	33117	33008	33008	109	109
sheets	sheets/batch-011/xls/RMP 2011-2014 and Inventory.xls	xls	18616	18595	18417	18396	199	199
sheets	sheets/batch-011/xls/Special-Procedures_2025-07-10.xls	xls	28748	28751	27923	27926	825	825
sheets	sheets/batch-011/xls/T0A0D0000090006XLSE.xls	xls	42789	40696	42471	40382	318	314
sheets	sheets/batch-011/xlsx/AFCforPtF-Digital-Certificate-Publication-Report.xlsx	xlsx	29859	29859	29739	29739	120	120
sheets	sheets/batch-011/xlsx/AMOC-Digital-Certificate-Publication-Report.xlsx	xlsx	37284	37279	36609	36603	675	676
sheets	sheets/batch-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	xlsx	17774	17809	17620	17654	154	155
sheets	sheets/batch-011/xlsx/Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted.xlsx	xlsx	29918	29922	29792	29796	126	126
sheets	sheets/batch-011/xlsx/NAARMO_Mexico_RVSM_Approvals.xlsx	xlsx	6792	6792	6790	6790	2	2
sheets	sheets/batch-011/xlsx/links-2026.xlsx	xlsx	2863	2863	2829	2829	34	34
sheets	sheets/batch-012/xls/SIL_TDB605.xls	xls	4138	4047	4131	4040	7	7
sheets	sheets/batch-012/xlsx/2023-qhp-form-and-rate-combined-checklist-final.xlsx	xlsx	14159	14080	14017	13936	142	144
sheets	sheets/batch-012/xlsx/2025_Active_Civil_Airmen_Statistics_FINAL.xlsx	xlsx	13490	13544	13331	13375	159	169
sheets	sheets/batch-012/xlsx/Application_for_authorisation_as_crowdfunding_service_provider.xlsx	xlsx	6245	6245	6223	6223	22	22
sheets	sheets/batch-012/xlsx/FAA-2019-0995-0002_attachment_2.xlsx	xlsx	10153	10224	9927	9994	226	230
sheets	sheets/batch-012/xlsx/FY2023-AIP-grants.xlsx	xlsx	92155	92201	51041	51045	41114	41156
sheets	sheets/batch-012/xlsx/aircraft_analysis-2018-06.xlsx	xlsx	7217	7217	7193	7193	24	24
sheets	sheets/batch-012/xlsx/atspp_pay_tables.xlsx	xlsx	13068	13068	12929	12929	139	139
sheets	sheets/batch-012/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013.xlsx	xlsx	13303	13275	13229	13201	74	74
sheets	sheets/batch-012/xlsx/sectors-defense-and-aerospace.xlsx	xlsx	24009	23964	23046	22997	963	967
sheets	sheets/batch-013/xls/ECA Sinters.xls	xls	38450	38754	38306	38610	144	144
sheets	sheets/batch-013/xls/NPIAS_2007_App_A.xls	xls	39806	39806	39764	39764	42	42
sheets	sheets/batch-013/xls/SIL_TDB609.xls	xls	5239	5148	5231	5140	8	8
sheets	sheets/batch-013/xls/npias_2009_appA.xls	xls	49835	49837	49705	49706	130	131
sheets	sheets/batch-013/xlsx/CSJU List of Recipients of funds 2013-2020.xlsx	xlsx	58662	58662	46489	46489	12173	12173
sheets	sheets/batch-013/xlsx/Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14.xlsx	xlsx	28967	28967	28183	28183	784	784
sheets	sheets/batch-013/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36.xlsx	xlsx	30582	30582	29790	29790	792	792
sheets	sheets/batch-013/xlsx/FY2018_Q4_UAS_Sightings.xlsx	xlsx	57890	56488	57225	55825	665	663
sheets	sheets/batch-013/xlsx/MinCh-Digital-Certificate-Publication-Report.xlsx	xlsx	112841	112750	112061	111969	780	781
sheets	sheets/batch-013/xlsx/fy20-may20-sep20.xlsx	xlsx	51837	51822	51317	51303	520	519
sheets	sheets/batch-014/xls/18-02RD301_ILS_components_Master_9-13-18.xls	xls	53359	53360	53198	52477	161	883
sheets	sheets/batch-014/xls/TICAPCapability_Final.xls	xls	4946	4936	4907	4897	39	39
sheets	sheets/batch-014/xls/aircraft_analysis_2016-04-27.xls	xls	14525	14540	11658	11671	2867	2869
sheets	sheets/batch-014/xls/capa-liste-nse-1.xls	xls	22737	22743	20199	20205	2538	2538
sheets	sheets/batch-014/xls/fy2010-aip-grants.xls	xls	63092	62697	49881	49881	13211	12816
sheets	sheets/batch-014/xls/fy2011-aip-grants.xls	xls	54739	52221	43201	43201	11538	9020
sheets	sheets/batch-014/xlsx/Aircraft_Database.xlsx	xlsx	16570	16421	16505	16356	65	65
sheets	sheets/batch-014/xlsx/FY2021-AIP-grants.xlsx	xlsx	156664	156610	89297	89300	67367	67310
sheets	sheets/batch-014/xlsx/afn-afn-20250801-fy25-jan25-mar25.xlsx	xlsx	73937	73741	73003	72843	934	898
sheets	sheets/batch-014/xlsx/alle einzeln.xlsx	xlsx	64184	64187	64184	64184	0	3
sheets	sheets/batch-015/xls/NPIAS_App_A.xls	xls	33646	33646	33612	33612	34	34
sheets	sheets/batch-015/xls/UASEventsNov2014-Aug2015.xls	xls	64714	64487	64056	63831	658	656
sheets	sheets/batch-015/xls/grants-2005.xls	xls	36000	35026	34897	34036	1103	990
sheets	sheets/batch-015/xlsx/6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.xlsx	xlsx	122984	122980	88846	88842	34138	34138
sheets	sheets/batch-015/xlsx/MajCh-Digital-Certificate-Publication-Report.xlsx	xlsx	67261	67265	66897	66901	364	364
sheets	sheets/batch-015/xlsx/ans_mappings_of_eccairs_terms.xlsx	xlsx	28195	28082	28005	27896	190	186
sheets	sheets/batch-015/xlsx/edb-emissions-databank v27-NewFormat (web).xlsx	xlsx	76730	76621	76311	76202	419	419
sheets	sheets/batch-015/xlsx/fm-provider-service-measures.xlsx	xlsx	21381	21523	21225	21348	156	175
sheets	sheets/batch-015/xlsx/seihon_zassi_kikou_20221215.xlsx	xlsx	49346	49285	48318	48257	1028	1028
sheets	sheets/batch-016/xls/7-memento-2015-transports-aeriens-b.xls	xls	29035	28049	28496	27524	539	525
sheets	sheets/batch-016/xls/PA_Delaware.xls	xls	135663	135663	135663	135663	0	0
sheets	sheets/batch-016/xls/activespecs.xls	xls	49586	49603	46566	46583	3020	3020
sheets	sheets/batch-016/xls/laufende-nip-vorhaben-hyland.xls	xls	6594	6594	6471	6471	123	123
sheets	sheets/batch-016/xls/underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund.xls	xls	4989	4994	4983	4988	6	6
sheets	sheets/batch-016/xlsx/Global_Market_Forecast_2016-2035_Airbus_Data_Set.xlsx	xlsx	75611	75609	73405	73403	2206	2206
sheets	sheets/batch-016/xlsx/SIL_TDB648.xlsx	xlsx	7680	7527	7653	7500	27	27
sheets	sheets/batch-016/xlsx/flightstandards-doc-Cross-reference-table_version02.xlsx	xlsx	68620	68573	61204	61155	7416	7418
sheets	sheets/batch-016/xlsx/tk-syllabus-comparison-document-v5.xlsx	xlsx	235370	235303	234736	234666	634	637
sheets	sheets/batch-017/xls/AIM_OPR_LIST.xls	xls	22101	22107	22007	22013	94	94
sheets	sheets/batch-017/xls/CIS_Debian_Linux_8_Benchmark_v1.0.0.xls	xls	16209	9290	15386	8981	823	309
sheets	sheets/batch-017/xls/environment-edb-docs-edb-emissions-databank.xls	xls	65598	65417	64132	63955	1466	1462
sheets	sheets/batch-017/xls/orbus_togaf_tool_csq.xls	xls	32416	47046	32184	46780	232	266
sheets	sheets/batch-017/xlsx/EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32.xlsx	xlsx	4995	5236	4933	5174	62	62
sheets	sheets/batch-017/xlsx/EASA_PRODUCT_LIST_-_ALL.xlsx	xlsx	103268	103268	96133	96133	7135	7135
sheets	sheets/batch-017/xlsx/ODs-February-2022-Airbus-Commercial-Aircraft.xlsx	xlsx	16758	16970	16610	15715	148	1255
sheets	sheets/batch-017/xlsx/RCO_VOR_Master_List_082824.xlsx	xlsx	15519	14902	15516	14901	3	1
sheets	sheets/batch-017/xlsx/TK-Syllabus-Comparison-Document-v2.xlsx	xlsx	258837	258753	255845	255761	2992	2992
sheets	sheets/batch-017/xlsx/certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013.xlsx	xlsx	36728	36728	36722	36722	6	6
sheets	sheets/batch-018/xlsx/EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0.xlsx	xlsx	32468	34770	32300	34602	168	168
sheets	sheets/batch-018/xlsx/EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31.xlsx	xlsx	29882	29904	28353	28378	1529	1526
sheets	sheets/batch-018/xlsx/Laser Report 2024 FOIA __Oct (1).xlsx	xlsx	116222	116738	116219	116735	3	3
sheets	sheets/batch-018/xlsx/STC_WebList.xlsx	xlsx	1295054	1293917	1286033	1284926	9021	8991
