cells	document	sheet	sheet_state	origin	sqref	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	can_paint
28	sheets/chartset-011/xlsx/071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	Project timeline	visible	main	E7:AF7	E$7=TODAY()	yes	yes	n/a	yes	yes
20	sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	Growth data	visible	main	F5:F24	ISERROR(F5)	yes	yes	n/a	yes	yes
20	sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	Growth data	visible	main	F5:F24	ISERROR(F5)	yes	yes	n/a	yes	yes
14	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall1	visible	main	K36:K37 D36:I37	ISERROR(D36)	yes	yes	yes	yes	yes
13	sheets/chartset-010/xlsx/047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	Gantt Chart	visible	main	C2:O2	#REF!<=TODAY()+7	no	yes	n/a	yes	yes
12	sheets/chartset-006/xlsx/044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	Cash flow forecast	visible	main	C8:N8	C8<Cash_Minimum	yes	yes	n/a	yes	yes
12	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall1	visible	main	J27:J38	ISERROR(J27)	yes	yes	yes	yes	yes
10	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	K28:K37	ISERROR(K28)	yes	yes	yes	yes	yes
10	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	L28:L37	ISERROR(L28)	yes	yes	yes	yes	yes
9	sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	Project tracker	visible	main	K5:K13	(ABS((K5-G5))/G5)>FlagPercent	yes	yes	n/a	yes	yes
9	sheets/chartset-007/xlsx/083_Project_tracker_Use_this_template_b38d057c.xlsx	Project tracker	visible	main	L5:L13	(ABS((L5-H5))/H5)>FlagPercent	yes	yes	n/a	yes	yes
8	sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	BLOOD PRESSURE DATA	visible	main	E12:E19	E12>MaxSystolic	yes	yes	n/a	yes	yes
8	sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	BLOOD PRESSURE DATA	visible	main	F12:F19	F12>MaxDiastolic	yes	yes	n/a	yes	yes
5	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	Discontinued VORs	visible	main	A202:E202	MOD(ROW(),2)=0	yes	yes	n/a	yes	yes
4	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	Discontinued VORs	visible	main	A201:D201	MOD(ROW(),2)=0	yes	yes	n/a	yes	yes
4	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	Discontinued VORs	visible	main	A203:D203	MOD(ROW(),2)=0	yes	yes	n/a	yes	yes
4	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	Discontinued VORs	visible	main	A217:D217	MOD(ROW(),2)=0	yes	yes	n/a	yes	yes
2	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	K38:L38	ISERROR(K38)	yes	yes	yes	yes	yes
1	sheets/chartset-007/xlsx/037_Personal_money_tracker_a57957bb.xlsx	Cash summary	visible	main	B22	AND($B$22>=0.25,$B$22<0.5)	yes	yes	n/a	yes	yes
1	sheets/chartset-008/xlsx/023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	Waterfall2	visible	main	L27	ISERROR(L27)	yes	yes	yes	yes	yes
1	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	Discontinued VORs	visible	main	E217	MOD(ROW(),2)=0	yes	yes	n/a	yes	yes
1	sheets/done-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	Sample Compliance Document List	visible	main	I491	"#REF!=""N/A"""	yes	yes	n/a	yes	yes
