doc	part	requires	vlines_in_fallback	choice_holds
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	word/document.xml	wpg	14	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,wgp,wsp
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	word/document.xml	wpg	42	cNvCnPr,prstGeom:ellipse,prstGeom:flowChartCollate,prstGeom:line,prstGeom:rect,prstGeom:triangle,wgp,wsp
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	word/document.xml	wpg	12	cNvCnPr,prstGeom:line,wgp,wsp
008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	word/document.xml	wpg	2	cNvCnPr,prstGeom:line,wgp,wsp
013_Project_Timeline_Template_Blue_Background_4ea3475e.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	word/document.xml	wpg	1	cNvCnPr,prstGeom:line,prstGeom:rect,wgp,wsp
050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
055_Organogram_Template_Horizontal_Structure_28a7e725.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
055_Organogram_Template_Horizontal_Structure_28a7e725.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
055_Organogram_Template_Horizontal_Structure_28a7e725.docx	word/document.xml	wpg	6	cNvCnPr,prstGeom:line,prstGeom:rect,prstGeom:straightConnector1,wgp,wsp
055_Organogram_Template_Horizontal_Structure_28a7e725.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
055_Organogram_Template_Horizontal_Structure_28a7e725.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
055_Organogram_Template_Horizontal_Structure_28a7e725.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	word/document.xml	wpg	1	cNvCnPr,prstGeom:line,prstGeom:rect,wgp,wsp
048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
059_Disease_Concept_Map_Template_4acf63f2.docx	word/document.xml	wpg	1	cNvCnPr,prstGeom:downArrow,prstGeom:line,wgp,wsp
059_Disease_Concept_Map_Template_4acf63f2.docx	word/document.xml	wpg	1	cNvCnPr,prstGeom:downArrow,prstGeom:line,wgp,wsp
011_Project_Timeline_Template_Beautiful_Theme_2336e680.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
011_Project_Timeline_Template_Beautiful_Theme_2336e680.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
014_Project_Timeline_Template_Blue_and_Green_Theme_a8311fa1.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
062_Vocabulary_Concept_Map_Template_2f7c1c09.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
079_Storyboard_Template_Simple_Format_81653703.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
Contract_Check_Pilot_Sample_LOA.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
Contract_Check_Pilot_Sample_LOA.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	word/document.xml	wps	1	cNvCnPr,prstGeom:line,wsp
system_design__technical_architecture_template.docx	word/header1.xml	wps	1	cNvCnPr,prstGeom:line,wsp
system_design__technical_architecture_template.docx	word/footer1.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	word/footer7.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	word/footer2.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	word/footer3.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	word/footer4.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	word/footer1.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	word/footer6.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	word/footer1.xml	wps	1	cNvCnPr,prstGeom:line,wsp
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	word/footer2.xml	wps	1	cNvCnPr,prstGeom:line,wsp
docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	word/document.xml	wpc	10	cNvCnPr,prstGeom:ellipse,prstGeom:line,prstGeom:rect,wgp,wpc,wsp
docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	word/document.xml	wpc	2	cNvCnPr,prstGeom:curvedUpArrow,prstGeom:downArrow,prstGeom:flowChartProcess,prstGeom:line,prstGeom:rect,prstGeom:triangle,wpc,wsp
