path	charts	lineparts
slides/done-007/odp/flying-by-numbers-presentation.odp	1	1
slides/done-008/odp/EG1_dsrc tech.odp	6	5
slides/done-010/odp/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.odp	1	0
slides/done-011/odp/171128IPAP.odp	9	8
slides/done-011/odp/1_Country-Updates_DRC_English.odp	3	2
slides/done-011/odp/3492.odp	4	0
slides/done-011/odp/3495.odp	4	0
slides/done-012/odp/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.odp	1	0
slides/done-015/odp/RPA P4 - Advanced Material.odp	1	1
slides/extra-001/odp/FAAAIandtheArtandScienceofV&Vfinal.odp	1	1
words/ceiling-001/odt/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.odt	1	1
words/chartset-001/odt/clustered-column-result.odt	1	0
words/chartset-001/odt/clustered-column-template.odt	1	0
words/chartset-001/odt/pie-chart-result.odt	1	0
words/chartset-001/odt/pie-chart-template.odt	1	0
words/chartset-009/odt/027_Unit_Circle_Chart_Graphical_Chart_5462a579.odt	1	0
words/chartset-010/odt/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.odt	1	0
words/chartset-010/odt/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.odt	1	0
words/chartset-011/odt/029_Unit_Circle_Chart_Pie_Theme_8a922142.odt	1	0
words/chartset-012/odt/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.odt	1	0
