doc	page	dLeft	dBottom	dRight	dTop	refW	refH	oH	oV	rH	rV
section_1_our_rights_presentation__pptx	20	+0.00	+0.01	+0.05	-0.01	886.2	443.8	0	4	0	4
section_1_our_rights_presentation__pptx	21	+0.01	+0.06	+0.12	-0.01	884.6	413.8	5	8	5	8
section_1_our_rights_presentation__pptx	22	+0.00	+114.74	-102.10	-82.12	883.7	419.7	6	0	8	8
section_1_our_rights_presentation__pptx	23	-0.00	-51.67	+0.02	+0.00	889.0	428.9	0	4	0	4
section_1_our_rights_presentation__pptx	24	+0.00	+0.06	+0.11	-0.01	861.6	336.6	4	8	4	8
section_1_our_rights_presentation__pptx	25	-0.00	+0.06	+0.02	+0.00	889.0	423.1	0	4	0	4
servicedesk-plus-overviewfinal__pptx	2	+0.01	-0.02	+0.02	-0.04	205.5	175.2	4	0	4	0
servicedesk-plus-overviewfinal__pptx	8	+0.00	-0.04	+0.01	-0.03	205.5	175.1	4	0	4	0
solog_orientation_august_2019__pptx	7	+0.00	-0.03	+0.06	-0.01	630.8	146.8	6	4	6	4
southern-classic-kennesaw-state-university-final__pptx	3	+0.05	-0.04	+0.03	-0.06	498.0	145.6	8	0	8	0
southern-classic-kennesaw-state-university-final__pptx	7	+0.03	-0.03	+0.03	-0.06	343.0	43.3	4	0	4	0
southern-classic-kennesaw-state-university-final__pptx	9	+4.24	+4.34	+0.21	-0.16	343.4	269.9	6	0	6	0
southern-classic-kennesaw-state-university-final__pptx	10	-402.14	-63.57	-504.96	-142.65	485.9	201.8	5	0	6	0
southern-classic-kennesaw-state-university-final__pptx	11	+0.03	-0.11	+0.06	-0.08	102.8	66.9	0	4	0	4
southern-classic-kennesaw-state-university-final__pptx	12	-0.00	+0.00	+0.06	+234.26	461.6	87.6	4	6	4	0
southern-classic-kennesaw-state-university-final__pptx	14	+4.24	+18.30	-18.20	-0.11	562.2	280.6	7	0	7	0
southern-classic-kennesaw-state-university-final__pptx	15	+0.01	-0.05	+0.05	-0.04	446.7	322.3	4	4	4	4
southern-classic-kennesaw-state-university-final__pptx	16	+0.01	+0.13	+0.05	-0.01	377.9	165.7	5	0	5	0
southern-classic-kennesaw-state-university-final__pptx	18	+0.01	+0.15	+0.04	+0.01	348.3	297.1	8	4	10	4
southern-classic-kennesaw-state-university-final__pptx	19	-0.00	+0.42	+0.07	-0.00	651.7	438.5	9	0	10	0
southern-classic-kennesaw-state-university-final__pptx	20	+0.02	-0.13	+11.73	-0.04	871.4	371.8	8	12	8	12
stacked_area_chart__pptx	1	+4.16	+4.87	+0.36	-0.23	492.6	273.8	10	0	10	0
stacked_bar_chart__pptx	1	+4.16	+4.88	+0.27	-0.24	505.7	276.7	10	0	10	0
undp_presentation_revised_17_may__ppt	5	+0.00	+0.05	+0.03	+0.02	98.6	288.6	12	0	12	0
undp_presentation_revised_17_may__ppt	7	+0.00	+0.06	+0.01	+0.03	546.7	275.6	16	12	16	12
undp_presentation_revised_17_may__ppt	11	+0.47	+20.28	-0.49	+0.03	585.0	361.2	8	0	8	0
undp_presentation_revised_17_may__ppt	16	-0.01	+0.01	-0.00	+0.01	440.4	65.1	8	8	8	8
undp_presentation_revised_17_may__ppt	18	-0.02	+0.03	-0.03	+0.03	589.6	305.3	8	10	8	10
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	13	+0.00	-0.05	+0.02	-0.00	178.1	365.7	11	0	11	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	14	+0.00	-0.05	+0.02	-0.00	178.1	365.7	11	0	11	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	15	+0.00	-0.05	+0.02	-0.00	178.1	365.7	11	0	11	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	16	+0.00	-0.05	+0.02	-0.00	178.1	365.7	11	0	11	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	17	+0.00	-0.05	+0.02	-0.00	178.1	365.7	11	0	11	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	18	+0.00	-0.05	+0.02	-0.00	178.1	365.7	11	0	11	0
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	32	+0.02	-0.04	+0.05	-0.00	151.2	329.9	0	4	0	4
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt	7	+0.00	-0.02	+0.00	-0.02	648.0	360.3	8	4	8	4
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt	8	+0.00	-0.02	+0.00	-0.02	648.0	303.5	4	4	4	4
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt	10	+0.03	-0.01	-0.01	-0.04	334.5	175.8	6	0	6	0
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt	11	+0.03	-0.04	+0.00	+0.01	170.0	238.1	6	0	6	0
ws_prod-g-doc-Events-2007-Privileges__ppt	2	-0.01	+0.03	-0.03	-0.00	361.0	251.6	12	10	12	10
ws_prod-g-doc-Events-2007-Privileges__ppt	4	-0.01	-83.09	-0.02	+0.03	439.5	166.3	9	0	6	0
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ__ppt	31	+0.00	-0.02	-0.01	+29.98	414.5	108.0	10	0	10	0
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt	3	+0.02	-0.49	+0.00	-0.04	624.0	192.7	6	8	6	8
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt	5	+0.37	+0.37	-0.37	-0.38	345.7	277.0	0	8	0	8
