slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	pptx	5/5	422/495	4/3	0	match	428/501	2032/2032	c27713a4a62deef4296415580e0f3d3c
slides/chartset-008/pptx/040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.pptx	pptx	3/3	116/142	5/3	0	match	118/144	633/633	dab60883f2c601899917c6d83f320d7a
slides/chartset-009/pptx/020_5-Option_Color_Wheel_Diagram_104ea3b0.pptx	pptx	3/3	318/354	5/5	0	match	323/359	1569/1569	b50f2c1cb6b1b6e79bf6825cf590761a
slides/chartset-008/pptx/065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.pptx	pptx	3/3	272/298	4/3	0	match	274/300	1401/1401	4666795b35afb43c6479b8dfed27f21b
slides/chartset-009/pptx/025_6-Option_Color_Wheel_Diagram_27e1c74d.pptx	pptx	3/3	406/442	5/5	0	match	411/447	2021/2021	59c77db6ea75b08e6fb8665a43ca9cab
slides/chartset-008/pptx/078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a.pptx	pptx	3/3	208/244	4/3	0	match	210/246	1155/1155	2bbbbdb0adf23e466f2967a58c5073b0
slides/chartset-009/pptx/033_Battery_Percentage_Chart_c99c24b5.pptx	pptx	3/3	224/266	5/5	0	match	229/271	1117/1117	d0beb80452b302463fd29a7a058705f0
slides/chartset-009/pptx/052_Flame_Percentage_Chart_d27d49c4.pptx	pptx	3/3	288/324	5/5	0	match	293/329	1421/1421	158100148ad335f3fae3235505ee6be9
slides/chartset-009/pptx/015_4-Option_Color_Wheel_Diagram_df7e4b8f.pptx	pptx	3/3	282/318	5/5	0	match	287/323	1413/1413	40b556a2d9fbb6ac023d584968d49c2d
slides/chartset-009/pptx/087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.pptx	pptx	4/4	750/798	5/3	0	match	750/798	3855/3855	92029926b3779f8e2464a4d157f4238a
slides/chartset-009/pptx/022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.pptx	pptx	3/3	432/454	5/3	0	match	432/454	2063/2063	50cc745aebf6271482fea2071d7fd29f
slides/chartset-009/pptx/030_Abstract_Petal_Diagram_71aa5e3a.pptx	pptx	3/3	267/303	5/5	0	match	272/308	1337/1337	e958e7d1ba50a43230166ffccef5b0c5
slides/chartset-010/pptx/027_6-Point_Dual_Hub_Comparison_13f9af30.pptx	pptx	3/3	90/124	5/5	0	match	95/129	443/443	181baa7ef70480aaf8b812a372a78985
slides/chartset-009/pptx/037_Circle_Matrix_Framework_44bc5218.pptx	pptx	3/3	287/321	5/5	0	match	292/326	1455/1455	5cdd7947afa9f249e28fc0c02814be86
slides/chartset-010/pptx/041_Crosswise_Quadrant_Diagram_ea8bdf52.pptx	pptx	3/3	256/294	5/5	0	match	261/299	1301/1301	eb9c84e815b741f70231a729ef1834c9
slides/chartset-009/pptx/075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.pptx	pptx	3/3	210/238	5/3	0	match	212/240	1029/1029	96046c31f7ae3e92c33a506e1f4cc170
slides/chartset-010/pptx/045_Dual-Segment_Quadrant_14a57221.pptx	pptx	3/3	294/334	5/5	0	match	299/339	1483/1483	d3e008e04550505c1d9f4e2f87384555
slides/chartset-010/pptx/002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	pptx	3/3	90/126	5/5	0	match	95/131	445/445	dee5a846e9f4f635a25a444e228cf0f4
slides/chartset-010/pptx/063_Four-Step_Infinity_Loop_3480185b.pptx	pptx	3/3	128/154	5/5	0	match	133/159	573/573	e8a0369785cffd2b4dacfe01a13f1ed2
slides/chartset-010/pptx/028_8-Point_Dual_Hub_Comparison_d6c5dde5.pptx	pptx	3/3	90/124	5/5	0	match	95/129	443/443	d2d4ad50ad6d038570e673c8f66b43cf
slides/chartset-010/pptx/095_Interwoven_Bars_e5aa46c2.pptx	pptx	3/3	286/314	5/5	0	match	291/319	1409/1409	062fe680d432bfbdbb18d6d19ceef43d
slides/chartset-010/pptx/042_Diamond_Hub_Infographic_a60cfaa1.pptx	pptx	3/3	284/322	5/5	0	match	289/327	1403/1403	1ebd6411cce92b4271258178f230a7f1
slides/chartset-011/pptx/026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.pptx	pptx	3/3	218/260	5/5	0	match	223/265	987/987	af20787581e8df8c95c4298b86ce5121
slides/chartset-010/pptx/048_Five-Arrows_Converging_Cycle_bb192e27.pptx	pptx	3/3	312/342	5/5	0	match	317/347	1589/1589	eb406d164af8dfbfde96550638831748
slides/chartset-011/pptx/046_Eight-Point_Strategic_Compass_35ee62de.pptx	pptx	3/3	196/234	5/5	0	match	201/239	877/877	9e25bef814239c26394dc9cfa7c1da2f
slides/chartset-010/pptx/093_Insightful_Zoom_Chart_22b5464e.pptx	pptx	3/3	356/388	5/5	0	match	361/393	1831/1831	8d94ab45ea27e199ac7184219092d4e1
slides/chartset-011/pptx/053_Flow_Wave_Process_9c0082f4.pptx	pptx	3/3	212/232	5/5	0	match	217/237	889/889	51b7e76a174993c4a12b5ce14fb92856
slides/chartset-011/pptx/010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.pptx	pptx	3/3	144/174	5/3	0	match	146/176	715/715	d2eb127ae5240ab8a655027638d425b5
slides/chartset-011/pptx/062_Four-Step_Growth_Staircase_8a3ef338.pptx	pptx	3/3	200/234	5/5	0	match	205/239	979/979	0a9d96d9a66f5be580b568f6b35c82d0
slides/chartset-011/pptx/034_Central_Idea_Hub_Diagram_8258e6ad.pptx	pptx	3/3	170/210	5/5	0	match	175/215	747/747	bf836824441c3b54b5b36127d4533d3e
slides/chartset-011/pptx/098_Leaning_Cards_Process_dadb3738.pptx	pptx	3/3	212/242	5/5	0	match	217/247	967/967	1071a52fb9db453a3e33855c9c71464e
slides/chartset-011/pptx/051_Five-Stage_Zigzag_Timeline_2bd39be9.pptx	pptx	3/3	162/194	5/5	0	match	167/199	781/781	3bf88e9c9a8caeb088216ca43bd7cbc7
