# ours: Paperless.Cli from this worktree; ref: /opt/libreoffice26.2 26.2.4.2, eight Latin duplicate faces aside; corpus /home/user/sample-files words track
# abs_ink = sum of pdf-image-diff.py's per-page UNSIGNED |ink|%; rank on this
id	pages_ours	pages_ref	abs_ink	signed_ink	major	worst_page	worst_ink	dwords	note
Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5__docx	3	3	0.12	0.08	0	1	0.04	0	
easa-form-1__docx	5	5	0.12	0.02	0	1	0.09	0	
AUWG min 4-3-24 final__docx	2	2	0.11	0.09	0	1	0.11	0	
Company-profile-2022-EN__docx	5	5	0.11	0.07	0	1	0.04	-1	font-note:|DejaVuSans
Leadership Information Article__docx	3	3	0.11	0.07	0	1	0.06	0	
certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10__doc	8	8	0.10	0.05	0	7	0.05	0	
clustered-column-result__docx	1	1	0.09	0.02	0	1	0.09	0	
053_Organogram_Template_Creative_Theme_21657a3d__docx	1	1	0.08	0.08	0	1	0.08	0	
085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a__docx	1	1	0.08	0.08	0	1	0.08	0	
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7__docx	1	1	0.08	0.08	0	1	0.08	-2	font-note:Carlito-Regular|
Contract_Check_Pilot_Sample_LOA__docx	4	4	0.08	0.06	0	1	0.05	0	
070_Storyboard_Template_Blank_Format_fc41673a__docx	1	1	0.07	0.04	0	1	0.07	0	unscoreable-font:DejaVuSerif-Bold|DejaVuSerifCondensed-BoldItalic
CSCRS_Technical-Report-Documentation-Page-with-instructions__docx	2	2	0.07	0.02	0	1	0.07	0	
Software Architecture Document Template__docx	3	3	0.07	0.05	0	1	0.07	0	
089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88__docx	1	1	0.06	0.02	0	1	0.06	0	
09__docx	2	2	0.06	0.06	0	1	0.06	0	
PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024__doc	6	6	0.06	0.02	0	2	0.03	0	
clustered-column-template__docx	1	1	0.06	0.00	0	1	0.06	0	
Checklist for TC STC ETSO data packages to FAA_TIP rev 5__docx	3	3	0.05	0.04	0	1	0.03	0	
013_Project_Timeline_Template_Blue_Background_4ea3475e__docx	1	1	0.04	0.04	0	1	0.04	0	
035_Venn_Diagram_Template_Editable_Format_966dff5f__docx	1	1	0.04	0.03	0	1	0.04	0	
074_Storyboard_Template_Editable_Design_132436d1__docx	1	1	0.04	0.04	0	1	0.04	0	
loi_format_letter_of_intent-a-320-214-a330__doc	10	10	0.04	0.02	0	9	0.03	0	font-note:|LiberationSerif-Bold
pie-chart-template__docx	1	1	0.04	0.04	0	1	0.04	0	
Allegiant_Company_Profile_with_History__docx	3	3	0.03	0.02	0	1	0.03	0	
Bull01-06-Reserve Training Standards__doc	6	6	0.03	0.02	0	3	0.03	0	
How-to-Write-an-Architecture-Document-for-a-Technology-Service__docx	3	3	0.03	0.01	0	2	0.02	0	
Interview-mit-Manfred1-Müller__docx	2	2	0.03	0.03	0	1	0.02	0	
LHD-230-application-for-the-approval-of-an-aircraftr__doc	2	2	0.03	0.03	0	1	0.02	0	
Technical Report and Technical Update Guidelines__docx	4	4	0.03	0.00	0	3	0.03	0	
Temp16__doc	2	2	0.03	0.03	0	1	0.02	0	
Theft-Restitution-Letter-Vancouver-ASC-2005__doc	1	1	0.03	0.01	0	1	0.03	0	
eTAR_External_Web_tool_Tip_Sheet_mh__docx	4	4	0.03	0.03	0	4	0.03	2	font-note:DejaVuSans|
032_Venn_Diagram_Template_Brown_Theme_d5b549f0__docx	1	1	0.02	0.02	0	1	0.02	0	
076_Storyboard_Template_Gray_Theme_1e5fd5e5__docx	1	1	0.02	0.00	0	1	0.02	0	
082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b__docx	1	1	0.02	0.02	0	1	0.02	0	
087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04__docx	2	2	0.02	0.02	0	1	0.02	0	
095_Business_Case_Template_Easy_Format_61de7128__docx	1	1	0.02	0.01	0	1	0.02	0	
1528039320__docx	1	1	0.02	0.02	0	1	0.02	0	
DRX-Ascend System Course Description__docx	2	2	0.02	0.02	0	1	0.01	0	
Writing a technical report (SCE subject guide)__docx	4	4	0.02	0.01	0	1	0.01	0	
healthcare-reform-nsa-consumer-bulletin__docx	4	4	0.02	0.00	0	1	0.01	0	
johnson_hall_service_log.pdf__docx	1	1	0.02	0.02	0	1	0.02	0	unscoreable-font:DejaVuSans|LiberationSansNarrow
031_Venn_Diagram_Template_Blue_Theme_a9e417b8__docx	1	1	0.01	0.00	0	1	0.01	-1	
037_Venn_Diagram_Template_Four_Circle_764829a0__docx	1	1	0.01	0.00	0	1	0.01	0	
040_Venn_Diagram_Template_Three_Circle_80f32f5e__docx	1	1	0.01	0.01	0	1	0.01	0	
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1__docx	1	1	0.01	0.01	0	1	0.01	0	
0c662f5c948a7d81d32ffd833c5cc59421a5f522__docx	1	1	0.01	0.00	0	1	0.01	-1	
1244277 1 Comment__doc	2	2	0.01	0.01	0	1	0.01	0	
FAA-High-Level-Org-Chart__docx	3	3	0.01	0.01	0	2	0.01	0	
License App Instructions 2-22__docx	3	3	0.01	0.00	0	3	0.01	0	
advert-for-draft-decision-airbus-epr-bm3965ia-v006__doc	2	2	0.01	0.01	0	1	0.01	0	
cacs-206-1751218225__docx	2	2	0.01	0.01	0	1	0.01	0	
chapter 12__doc	12	12	0.01	0.00	0	7	0.01	0	
s33song-beverlyactproductionofdocuments__docx	2	2	0.01	0.00	0	1	0.01	0	
technical-memo-format__docx	5	5	0.01	0.00	0	2	0.01	0	unscoreable-font:DejaVuSerif-Bold|DejaVuSerifCondensed-BoldItalic
033_Venn_Diagram_Template_Colored_Theme_2aea6697__docx	1	1	0.00	0.00	0	1	0.00	0	
034_Venn_Diagram_Template_Customizable_Format_d14642b7__docx	1	1	0.00	0.00	0	1	0.00	0	
036_Venn_Diagram_Template_Fillable_Layout_3ffbba36__docx	1	1	0.00	0.00	0	1	0.00	0	
039_Venn_Diagram_Template_Simple_Format_6f82661d__docx	1	1	0.00	0.00	0	1	0.00	0	
083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3__docx	1	1	0.00	0.00	0	1	0.00	0	
088_Printable_Graph_Paper_Template_Quality_layout_33051f6e__docx	1	1	0.00	0.00	0	1	0.00	0	
094_Business_Case_Template_Decent_Layout_e7722f2b__docx	1	1	0.00	0.00	0	1	0.00	0	
099_Business_Case_Template_Gray_Theme_ac3edbf4__docx	1	1	0.00	0.00	0	1	0.00	0	
1245685 1 Comment__doc	1	1	0.00	0.00	0	1	0.00	0	
191216_Lesefassung_Nachtflugregelung__docx	3	3	0.00	0.00	0	1	0.00	0	
96-3-clement-data__doc	7	7	0.00	0.00	0	1	0.00	0	
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx	2	2	0.00	0.00	0	1	0.00	0	
CMTA_Airport_Transportation__docx	1	1	0.00	0.00	0	1	0.00	0	
FAA-2013-0422-0009_attachment_1__doc	7	7	0.00	0.00	0	1	0.00	0	
GLACIERBG.ETT__doc	1	1	0.00	0.00	0	1	0.00	0	
II.1.2_Hypoxia__doc	13	13	0.00	0.00	0	1	0.00	0	
LENTOBUSSIAIKATAULU.-31.10.-31.12.2022__doc	1	1	0.00	0.00	0	1	0.00	0	
Sample_PAO-PSO_91-113_Letter__docx	1	1	0.00	0.00	0	1	0.00	0	
congregationalhistories_ky_2023__doc	1	1	0.00	0.00	0	1	0.00	0	
lk03_17__docx	2	2	0.00	0.00	0	1	0.00	0	
prison-population-bulletin-june__doc	4	4	0.00	0.00	0	1	0.00	0	
template-technical-report__docx	10	10	0.00	0.00	0	1	0.00	0	
02_mcar_part-2_and_IS_v2.10__docx	314	200	-	-	-	-	-	1248	unscoreable-font:Carlito-Regular,DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold,LiberationSansNarrow-Italic;pages-differ
1447__doc	4	3	-	-	-	-	-	0	font-note:|DejaVuSerifCondensed-BoldItalic,DejaVuSerifCondensed-Italic;pages-differ
150_5300_13_chg10__doc	77	78	-	-	-	-	-	618	pages-differ
150_5300_13_chg8__doc	18	17	-	-	-	-	-	152	pages-differ
237287_0486190101_0486190101_geolink2neu__doc	8	4	-	-	-	-	-	46	unscoreable-font:DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold;pages-differ
ABCD-FE-01-00 Flight Envelope - v1 08.03.16__docx	14	16	-	-	-	-	-	-206	unscoreable-font:FreeSerif|LiberationSerif,LiberationSerif-Italic,OpenSymbol;pages-differ
FRE-03_mcar_part-3_and_IS_v2.9__docx	76	61	-	-	-	-	-	316	unscoreable-font:DejaVuSans,DejaVuSans-Bold|Carlito-Bold,Carlito-Regular,LiberationSansNarrow,LiberationSansNarrow-Bold,LiberationSansNarrow-Italic;pages-differ
OM template for non-complex NCC operators_August 2016__docx	166	165	-	-	-	-	-	151	pages-differ
SPA-02_mcar_part-2_and_IS_v2.9__docx	268	205	-	-	-	-	-	908	unscoreable-font:Carlito-Regular,DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold,LiberationSansNarrow-BoldItalic,LiberationSansNarrow-Italic;pages-differ
SPA-06_mcar_part-6_and_IS_v2.9__docx	85	64	-	-	-	-	-	463	unscoreable-font:DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold,LiberationSansNarrow-BoldItalic,LiberationSansNarrow-Italic;pages-differ
SPA-11_mcar_part-11_v2.9__docx	49	39	-	-	-	-	-	156	unscoreable-font:Carlito-Regular,DejaVuSans,DejaVuSans-Bold|LiberationSansNarrow,LiberationSansNarrow-Bold,LiberationSansNarrow-Italic;pages-differ
absrc-pac-01-info-note-en__doc	6	7	-	-	-	-	-	-1	pages-differ
