# ours   = Paperless.Cli @ f4b8c38255a92caf1f05cc8acdf8d8288a5ceac4 (base, before this round)
# ref    = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 (TDF tarball)
# fonts  = system fontconfig; ALL FOUR tarball confounds moved aside on 2026-09-07 --
#          Carlito/Caladea/Liberation/DejaVu duplicates, the Latin Noto, and the four
#          LiberationSansNarrow. 38 faces in .duplicates-aside, 71 left in the directory.
#          fc-match "DejaVu Sans" -> DejaVuSans.ttf. fc-list | grep -i narrow is empty.
# rule   = batch-check.sh of 2026-09-05: page count, then alphanumeric characters within
#          max(2%, 15), then unembedded fonts.
# corpus = /home/user/sample-files (reference columns from /home/user/gate-2f47 @ 2f4709c08)
# note   = the reference half here reproduces probes/odf-gate-01/rows.tsv's ref columns on
#          302 of 302 .odp rows, pages and glyphs, so the Narrow move did not touch them.
path	ext	pages	words	fonts	unemb	verdict	rawwords	glyphs
slides/chartset-011/pptx/062_Four-Step_Growth_Staircase_8a3ef338.pptx	pptx	3/3	199/198	5/5	0	match	204/203	979/979
slides/chartset-011/pptx/097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592.pptx	pptx	3/3	238/240	5/3	0	match	240/242	1237/1237
slides/chartset-011/pptx/098_Leaning_Cards_Process_dadb3738.pptx	pptx	3/3	211/210	5/5	0	match	216/215	967/967
slides/chartset-012/pptx/003_2-Circle_Venn_Diagram_7ab74e5c.pptx	pptx	3/3	147/146	5/5	0	match	152/151	769/768
slides/chartset-012/pptx/008_3-Circle_Venn_Diagram_024a12c5.pptx	pptx	3/3	217/216	5/5	0	match	222/221	1097/1096
slides/chartset-012/pptx/013_3-Step_Segmented_Cycle_Process_5232f82d.pptx	pptx	3/3	219/218	5/5	0	match	224/223	1113/1113
slides/chartset-012/pptx/061_Four-Stage_Serpentine_Chart_05699efe.pptx	pptx	3/3	71/70	5/5	0	match	76/75	397/396
slides/chartset-012/pptx/064_Four-Step_Success_Cycle_30c0a917.pptx	pptx	3/3	151/150	5/5	0	match	156/155	701/701
slides/chartset-012/pptx/067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.pptx	pptx	4/4	464/464	4/4	0	match	488/488	2392/2392
slides/chartset-012/pptx/073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.pptx	pptx	3/3	270/272	4/3	0	match	272/274	1383/1383
slides/chartset-012/pptx/074_Hashtag_Matrix_246eb8d9.pptx	pptx	3/3	245/244	5/5	0	match	250/249	1271/1270
slides/chartset-012/pptx/080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f.pptx	pptx	3/3	275/277	4/3	0	match	275/277	1406/1406
slides/chartset-012/pptx/089_Infographic_Radial_Matrix_for_PowerPoint_and_Google_Slides_eb0550f2.pptx	pptx	3/3	282/284	5/3	0	match	284/286	1453/1453
slides/chartset-013/pptx/014_3D_Radial_Block_List_for_PowerPoint_and_Google_Slides_0773075e.pptx	pptx	3/3	430/432	5/3	0	match	432/434	2249/2249
slides/chartset-013/pptx/016_4-Position_Org_Chart_1d3640b6.pptx	pptx	3/3	132/134	4/3	0	match	134/136	745/745
slides/chartset-013/pptx/023_5-Step_Progress_Cards_91d5ff57.pptx	pptx	3/3	241/240	5/5	0	match	246/245	1155/1155
slides/chartset-013/pptx/032_BCG_Growth-Share_Matrix_560d0485.pptx	pptx	3/3	277/312	5/5	0	match	290/325	1153/1153
slides/chartset-013/pptx/049_Five-Block_Hub_Spoke_42ee8593.pptx	pptx	3/3	265/264	5/5	0	match	272/271	1333/1332
slides/chartset-013/pptx/050_Five-Point_Radial_Hub_00793e08.pptx	pptx	3/3	165/164	5/5	0	match	170/169	755/755
slides/chartset-013/pptx/056_Four-Block_Hub_Spoke_134b89d1.pptx	pptx	3/3	219/218	5/5	0	match	226/225	1107/1106
slides/chartset-013/pptx/066_Free_PowerPoint_Layered_Funnel_Process_c0b380ec.pptx	pptx	5/5	580/580	4/4	0	match	610/610	2975/2975
slides/chartset-013/pptx/079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63.pptx	pptx	3/3	142/144	4/3	0	match	144/146	745/745
slides/chartset-013/pptx/088_Infographic_Quadrant_Pie_Chart_7b1e8abd.pptx	pptx	3/3	289/288	5/5	0	match	294/293	1435/1434
slides/chartset-014/pptx/019_4-Step_Segmented_Cycle_Process_2ff93c19.pptx	pptx	3/3	281/280	5/5	0	match	286/285	1417/1417
slides/chartset-014/pptx/021_5-Position_Org_Chart_cb042559.pptx	pptx	3/3	136/138	4/3	0	match	138/140	765/765
slides/chartset-014/pptx/024_5-Step_Segmented_Cycle_Process_c8ca37ef.pptx	pptx	3/3	343/342	5/5	0	match	348/347	1721/1721
