identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42__docx	docx	words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	1	0	0	0	31	1056	1	0
052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe__docx	docx	words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	1	0	0	0	21	969	1	0
Theft-Restitution-Letter-Vancouver-ASC-2005__doc	doc	words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	1	0	0	0	1	72	1	0
091_Business_Case_Template_Complete_Guide_cb91a140__docx	docx	words/chartset-013/docx/091_Business_Case_Template_Complete_Guide_cb91a140.docx	5	10	882	1	0	0	0	2
BID_ACKNOWLEDGEMENT_FORM_FOR_A320__docx	docx	words/done-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	2	0	0	0	18	216	1	0
045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c__docx	docx	words/chartset-014/docx/045_Visual_Product_Roadmap_Template_Excellent_Format_e364063c.docx	1	5	3614	1	5	3613	1	1
Wales_Office_Quarter_4_Ministerial_Transparency_Return__doc	doc	words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	6	15	6938	3	18	8557	3	6
086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7__docx	docx	words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	1	0	0	0	6	1084	1	0
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f__docx	docx	words/chartset-014/docx/078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f.docx	1	0	0	0	15	4442	1	0
RNW167A-150428__doc	doc	words/done-007/doc/RNW167A-150428.doc	9	151	74952	9	153	75945	9	1
018_Project_Timeline_Template_Editable_Format_e1cf1df5__docx	docx	words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	1	0	0	0	3	393	1	0
foca_form_1__doc	doc	words/done-001/doc/foca_form_1.doc	3	9	6629	1	9	6629	1	1
049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f__docx	docx	words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	1	5	3719	1	5	3718	1	1
final-technical-report-template__docx	docx	words/done-007/docx/final-technical-report-template.docx	6	10	592	1	0	0	0	4
template-technical-report__docx	docx	words/done-007/docx/template-technical-report.docx	10	0	0	0	6	944	1	0
FlightLaws__doc	doc	words/done-008/doc/FlightLaws.doc	4	38	15042	4	65	13658	4	1
004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152__docx	docx	words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	1	0	0	0	22	820	1	0
ECSS-E-ST-50-16C-Annex-A(30September2021)__docx	docx	words/done-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	4	29	12812	2	29	13164	1	3
012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550__docx	docx	words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	2	0	0	0	7	1273	1	0
DEP2008-1900__doc	doc	words/done-003/doc/DEP2008-1900.doc	4	2	873	1	2	871	1	3
046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0__docx	docx	words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	1	0	0	0	18	1718	1	0
237287_0486190101_0486190101_geolink2neu__doc	doc	words/done-009/doc/237287_0486190101_0486190101_geolink2neu.doc	8	0	0	0	8	782	8	0
100_Business_Case_Template_Modern_Format_ff9e7282__docx	docx	words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	5	12	3896	4	8	3701	3	4
Technical_Issue_Report_Form__docx	docx	words/done-003/docx/Technical_Issue_Report_Form.docx	2	0	0	0	2	935	1	0
