path	dir	spacing	size	bold	linebreak	overlap	rot	count	index	words	whole	widest	rest	text
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	50.7725	9.0000	0	1	0	0.0000	6	0	2	30.0146	22.5087	5.0054	Other 2
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	50.7725	9.0000	0	1	0	0.0000	6	1	2	30.0146	22.5087	5.0054	Other 3
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	50.7725	9.0000	0	1	0	0.0000	6	2	2	30.0146	22.5087	5.0054	Other 4
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	50.7725	9.0000	0	1	0	0.0000	6	4	2	30.0146	22.5087	5.0054	Other 1
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	27.6941	9.0000	0	1	0	0.0000	11	0	2	30.0146	22.5087	5.0054	Other 2
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	27.6941	9.0000	0	1	0	0.0000	11	1	2	30.0146	22.5087	5.0054	Other 1
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	27.6941	9.0000	0	1	0	0.0000	11	2	2	75.0278	54.0176	18.5098	Club memberships
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	27.6941	9.0000	0	1	0	0.0000	11	3	2	55.5292	35.5209	17.5078	Personal care
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	27.6941	9.0000	0	1	0	0.0000	11	10	2	83.0258	56.5180	24.0073	Home improvements
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	17.3789	9.0000	0	1	0	0.0000	18	0	2	30.0146	22.5087	5.0054	Other 1
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	17.3789	9.0000	0	1	0	0.0000	18	1	2	30.0146	22.5087	5.0054	Other 2
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	17.3789	9.0000	0	1	0	0.0000	18	3	2	63.0394	31.5175	29.0215	Vehicle tax/fees
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	17.3789	9.0000	0	1	0	0.0000	18	12	2	78.0161	39.5069	36.0088	Disability premiums
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	17.3789	9.0000	0	1	0	0.0000	18	13	3	67.0340	29.0127	33.0204	State income tax
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	17.3789	9.0000	0	1	0	0.0000	18	14	2	70.5409	39.0190	29.0215	Vehicle payments
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	62.5496	9.0000	0	1	0	0.0000	5	0	2	30.0146	22.5087	5.0054	Other 1
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	62.5496	9.0000	0	1	0	0.0000	5	1	2	30.0146	22.5087	5.0054	Other 2
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	62.5496	9.0000	0	1	0	0.0000	5	2	2	58.0209	34.5102	21.0102	Cash reserves
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	V	62.5496	9.0000	0	1	0	0.0000	5	4	2	36.5228	19.5161	14.5063	401k etc.
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	V	63.3022	9.0000	0	1	0	0.0000	2	0	2	48.4848	24.6576	20.9663	Next Week
