path	banked	now	pages_ref	glyphs_ref	pages_ours	glyphs_ours	unemb
slides/ceiling-001/ppt/Fundamentals_Module_1_basics.ppt	match	match	26	6471	26	6589	0
slides/ceiling-001/ppt/W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed.ppt	words	words	20	4473	20	4973	0
slides/ceiling-001/pptx/OnTrac_StarCertificationProgram-3Day.pptx	words	words	15	6233	15	7709	0
slides/ceiling-001/pptx/Sylva%20introduction%20session.pptx	match	match	15	5700	15	5700	0
slides/ceiling-001/pptx/7-Zulkefli_Part147n66_IKMAS.pptx	match	match	18	5593	18	5520	0
slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	match	match	27	13959	27	13921	0
slides/ceiling-001/ppt/Thailand17.ppt	words	words	54	14380	54	14880	0
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	words	match	30	28136	30	28178	0
slides/ceiling-002/pptx/WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222.pptx	match	match	51	13007	51	13011	0
slides/ceiling-002/ppt/pres_ioc_phuket.ppt	match	match	26	6090	26	6090	0
slides/ceiling-002/pptx/16 - UTM - (NASA).pptx	words	words	37	13981	37	15126	0
slides/ceiling-002/pptx/Demick_JetBlue.pptx	words	words	10	3179	10	3519	0
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	words	words	26	9949	26	10424	0
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	match	match	23	10946	23	10979	0
slides/done-001/pptx/fishbone-diagram-template-ppt-1.pptx	match	match	1	882	1	882	0
slides/done-001/pptx/Trust Fund Excise Taxes Structure.pptx	match	match	1	868	1	868	0
slides/done-001/pptx/Definitions commodity chains.pptx	match	match	4	1556	4	1556	0
slides/done-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	match	match	6	3547	6	3547	0
slides/done-001/ppt/wells08_basic.ppt	match	match	27	5762	27	5741	0
slides/done-001/pptx/Statement of Work presentation.pptx	match	match	10	1286	10	1286	0
slides/done-001/ppt/WC_Update-Aug03.ppt	match	match	11	2874	11	2874	0
slides/done-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	match	match	8	1647	8	1647	0
slides/done-001/ppt/policy-pesentation.ppt	match	match	16	2288	16	2288	0
slides/done-001/pptx/iaeg_work_group_leader_updates.pptx	match	match	1	505	1	505	0
slides/done-002/pptx/Curriculum-Schematic-E22-11052025.pptx	match	match	12	6925	12	6925	0
slides/done-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	match	match	20	5043	20	5043	0
slides/done-002/pptx/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.pptx	match	match	1	558	1	558	0
slides/done-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	match	match	14	4659	14	4659	0
slides/done-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	match	match	27	10371	27	10371	0
slides/done-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	match	match	10	2925	10	2925	0
slides/done-002/pptx/medicines_bulletin_february_2023_final.pptx	match	match	1	3093	1	3093	0
slides/done-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	match	match	30	10489	30	10489	0
slides/done-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	match	match	18	4473	18	4473	0
slides/done-002/pptx/dhs-293364.pptx	match	match	39	19700	39	19661	0
slides/done-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	match	match	24	6738	24	6738	0
slides/done-003/pptx/97936.pptx	match	match	15	6561	15	6561	0
slides/done-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	match	match	6	4920	6	4920	0
slides/done-003/ppt/outlook_of_nigerian_pension_sector.ppt	match	match	12	5802	12	5802	0
slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	match	match	38	14835	38	14835	0
slides/done-003/ppt/Inducement-to-Insurance-Business.ppt	match	match	22	12899	22	12942	0
slides/done-003/ppt/010605Vul.ppt	match	match	21	5746	21	5746	0
slides/done-003/pptx/NCW-2024-Guide-.pptx	match	match	1	1181	1	1181	0
slides/done-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	match	match	15	4160	15	4160	0
slides/done-003/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	match	match	55	33915	55	33915	0
slides/done-004/pptx/DOE Interactive Exercise Presentation draft rev 2.pptx	match	match	10	2744	10	2744	0
slides/done-004/pptx/Session 21- The option to expand & abandon.pptx	match	match	12	4256	12	4268	0
slides/done-004/ppt/undp_presentation_revised_17_may.ppt	match	match	22	10597	22	10590	0
slides/done-004/pptx/Item 6b - UNSD - Dissemination through APIs.pptx	match	match	10	2420	10	2420	0
slides/done-004/pptx/redac-fullComm-201705-EE-FRs-briefing.pptx	match	match	8	2268	8	2268	0
slides/done-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	match	match	52	22442	52	22442	0
slides/done-004/ppt/ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.ppt	match	match	10	1884	10	1884	0
slides/done-004/pptx/Liturgical-Commission-2025-Convention-Presentation.pptx	match	match	9	1837	9	1837	0
slides/done-004/pptx/attendance-updates-for-governors.pptx	match	match	30	17298	30	17282	0
slides/done-004/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	match	match	12	4472	12	4499	0
slides/done-005/pptx/c_291533.pptx	match	match	19	5913	19	5904	0
slides/done-005/pptx/5b_upasana_dasgupta_-_liability_and_registration.pptx	match	match	15	5090	15	5024	0
slides/done-005/pptx/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.pptx	match	match	19	11586	19	11586	0
slides/done-005/ppt/ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	match	match	12	6950	12	6950	0
slides/done-005/pptx/manufacturing_process_simulation_working_group_overview_2023.pptx	match	match	7	4868	7	4793	0
slides/done-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	match	match	11	12083	11	12083	0
slides/done-005/ppt/berlin.ppt	match	match	29	7403	29	7392	0
slides/done-005/ppt/ITE106-Chapter 4.ppt	match	match	47	16509	47	16509	0
slides/done-005/ppt/pods05.ppt	match	match	60	10676	60	10682	0
slides/done-005/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	match	match	9	9027	9	9027	0
slides/done-006/pptx/wopanets-innovationdays-06-16.pptx	match	match	15	3625	15	3625	0
slides/done-006/pptx/social-media-app-bulletin-january.pptx	match	match	4	4001	4	4001	0
slides/done-006/ppt/ws_prod-g-doc-Events-r-6.-ESM.ppt	match	match	25	11330	25	11330	0
slides/done-006/pptx/Course Selection 2025-26 Current Grade 09.pptx	match	match	10	3343	10	3343	0
slides/done-006/pptx/Stakeholders-v08052017 - v5.pptx	match	match	13	3388	13	3388	0
slides/done-006/ppt/Lepore.ppt	match	match	20	10767	20	10753	0
slides/done-006/pptx/iris07.12.12.pptx	match	match	21	4795	21	4795	0
slides/done-006/pptx/nabiyeleul_1_aviation_service_28_july_2020.pptx	match	match	9	3146	9	3146	0
slides/done-006/pptx/REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2.pptx	match	match	18	12620	18	12620	0
slides/done-006/pptx/Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS.pptx	match	match	9	3451	9	3451	0
slides/done-007/ppt/introduction_to_bea_tuxedo.ppt	match	match	40	9893	40	9931	0
slides/done-007/pptx/PAL Block Intro 2023.pptx	match	match	20	8225	20	8225	0
slides/done-007/pptx/flying-by-numbers-presentation.pptx	match	match	10	2379	10	2379	0
slides/done-007/pptx/Boeing 737 Max - Group 5.pptx	match	match	2	27	2	27	0
slides/done-007/pptx/bitesize-writing-a-report.pptx	match	match	15	3791	15	3791	0
slides/done-007/ppt/1-secretariat.ppt	match	match	10	1034	10	1034	0
slides/done-007/pptx/10. Drawings, circuit diagrams and schematics.pptx	match	match	23	8444	23	8444	0
slides/done-007/pptx/BHCA Part II webinar #2 - 10.2020.pptx	match	match	21	7216	21	7358	0
slides/done-007/ppt/joint_user_outcomes_michael_fullerton_29.06.12.ppt	match	match	20	9836	20	9836	0
slides/done-007/ppt/71393_pp7.ppt	match	match	39	12475	39	12475	0
slides/done-008/pptx/FIT26-Presentation-Airservices-Update.pptx	match	match	11	1295	11	1295	0
slides/done-008/ppt/RESPA_-_Section_8_Webinar.ppt	match	match	35	13293	35	13293	0
slides/done-008/pptx/AATF-Fact-Sheet-2025.pptx	match	match	9	4611	9	4611	0
slides/done-008/ppt/Framing Europe.ppt	match	match	24	11542	24	11542	0
slides/done-008/ppt/concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011.ppt	match	match	36	13459	36	13459	0
slides/done-008/ppt/8.16_AOD_FINAL_Provider_Training_Presentation_9_2009.ppt	match	match	94	22481	94	22481	0
slides/done-008/pptx/item_3-environmental_process_briefing.pptx	match	match	12	1765	12	1765	0
slides/done-008/ppt/EG1_dsrc tech.ppt	match	match	26	11132	26	11132	0
slides/done-008/pptx/G-InvoicingKeithJarboe.pptx	match	match	13	6968	13	6968	0
slides/done-008/pptx/ROK-PI Climate Bulletin - Edition 2017-06.pptx	match	match	2	2332	2	2332	0
slides/done-009/pptx/redac-sas-201403-ppt-portfolio-rev-sim.pptx	match	match	14	13014	14	13014	0
slides/done-009/ppt/Employment-Based_I-485.ppt	match	match	42	13353	42	13353	0
slides/done-009/ppt/Airport Planning 09112013.ppt	match	match	9	3591	9	3591	0
